# osu-lat-charm.py 1 4194304 1000 500 0 /home/zanef2/charm-mpi-compare +ppn 1 +pemap L0,4
Iteration Group,Message Size,Total Trials,Warmup Trials,Elapsed seconds
650,2,1000,50,1.7503e-06
660,2,1000,50,1.8085e-06
670,2,1000,50,1.7992999999999999e-06
680,2,1000,50,1.7803e-06
690,2,1000,50,1.7984e-06
700,2,1000,50,1.7962999999999999e-06
710,2,1000,50,1.7844e-06
720,2,1000,50,1.8074e-06
730,2,1000,50,1.7852999999999999e-06
740,2,1000,50,1.7572999999999999e-06
750,2,1000,50,1.7763e-06
760,2,1000,50,1.7822999999999999e-06
770,2,1000,50,1.7742999999999999e-06
780,2,1000,50,1.8064000000000002e-06
790,2,1000,50,1.7864000000000002e-06
800,2,1000,50,1.7693e-06
810,2,1000,50,1.7822999999999999e-06
820,2,1000,50,1.7894000000000002e-06
830,2,1000,50,1.8174000000000002e-06
840,2,1000,50,1.7753e-06
850,2,1000,50,1.7893e-06
860,2,1000,50,1.7843e-06
870,2,1000,50,1.7613e-06
880,2,1000,50,1.7964e-06
890,2,1000,50,1.7712999999999999e-06
900,2,1000,50,1.7703e-06
910,2,1000,50,1.8004000000000002e-06
920,2,1000,50,1.7744000000000001e-06
930,2,1000,50,1.8484000000000002e-06
940,2,1000,50,1.7724000000000002e-06
950,2,1000,50,1.8054000000000001e-06
960,2,1000,50,1.7793e-06
970,2,1000,50,1.7803e-06
980,2,1000,50,1.8254000000000001e-06
990,2,1000,50,1.7822999999999999e-06
1000,2,1000,50,1.7863e-06
1010,2,1000,50,1.7654e-06
1020,2,1000,50,1.7822999999999999e-06
1030,2,1000,50,1.7854e-06
1040,2,1000,50,1.7773e-06
0,4,1000,50,1.7903e-06
10,4,1000,50,1.7682999999999999e-06
20,4,1000,50,1.8354e-06
30,4,1000,50,1.7503e-06
40,4,1000,50,1.8044e-06
50,4,1000,50,1.7793e-06
60,4,1000,50,1.7914000000000001e-06
70,4,1000,50,1.7803e-06
80,4,1000,50,1.7712999999999999e-06
90,4,1000,50,1.7984e-06
100,4,1000,50,1.7773e-06
110,4,1000,50,1.7974000000000001e-06
120,4,1000,50,1.7822999999999999e-06
130,4,1000,50,1.7994e-06
140,4,1000,50,1.7964e-06
150,4,1000,50,1.7644e-06
160,4,1000,50,1.7704e-06
170,4,1000,50,1.8204000000000002e-06
180,4,1000,50,1.7964e-06
190,4,1000,50,1.7854e-06
200,4,1000,50,1.7904e-06
210,4,1000,50,1.7852999999999999e-06
220,4,1000,50,1.7682999999999999e-06
230,4,1000,50,1.7643e-06
240,4,1000,50,1.7844e-06
250,4,1000,50,1.8374000000000002e-06
260,4,1000,50,1.7983e-06
270,4,1000,50,1.8054000000000001e-06
280,4,1000,50,1.7873e-06
290,4,1000,50,1.8425e-06
300,4,1000,50,1.8014e-06
310,4,1000,50,1.7723e-06
320,4,1000,50,1.8054000000000001e-06
330,4,1000,50,1.7814e-06
340,4,1000,50,1.7803e-06
350,4,1000,50,2.2200999999999997e-06
360,4,1000,50,1.7613e-06
370,4,1000,50,1.9887e-06
380,4,1000,50,1.7923e-06
390,4,1000,50,1.7914000000000001e-06
400,4,1000,50,1.7803e-06
410,4,1000,50,1.7864000000000002e-06
420,4,1000,50,1.7843e-06
430,4,1000,50,1.7473e-06
440,4,1000,50,1.8534000000000001e-06
450,4,1000,50,1.7754000000000002e-06
460,4,1000,50,2.2111e-06
470,4,1000,50,1.7814e-06
480,4,1000,50,1.7854e-06
490,4,1000,50,1.7904e-06
500,4,1000,50,1.7723e-06
510,4,1000,50,1.7893e-06
520,4,1000,50,1.7852999999999999e-06
530,4,1000,50,1.7583e-06
540,4,1000,50,1.7603e-06
550,4,1000,50,1.7833e-06
560,4,1000,50,1.8064000000000002e-06
570,4,1000,50,2.2532e-06
580,4,1000,50,1.7753e-06
590,4,1000,50,1.7904e-06
600,4,1000,50,1.7712999999999999e-06
610,4,1000,50,1.8154e-06
620,4,1000,50,1.7914000000000001e-06
630,4,1000,50,1.7864000000000002e-06
640,4,1000,50,1.7944000000000001e-06
650,4,1000,50,1.7914000000000001e-06
660,4,1000,50,1.8214e-06
670,4,1000,50,1.7803e-06
680,4,1000,50,1.7643e-06
690,4,1000,50,1.7852999999999999e-06
700,4,1000,50,1.8033e-06
710,4,1000,50,1.8024e-06
720,4,1000,50,1.7633e-06
730,4,1000,50,1.7854e-06
740,4,1000,50,1.7834000000000002e-06
750,4,1000,50,1.7682999999999999e-06
760,4,1000,50,1.7813e-06
770,4,1000,50,1.7863e-06
780,4,1000,50,1.7774000000000001e-06
790,4,1000,50,1.7824e-06
800,4,1000,50,1.7733e-06
810,4,1000,50,1.7652999999999999e-06
820,4,1000,50,1.7682999999999999e-06
830,4,1000,50,1.7783e-06
840,4,1000,50,1.7904e-06
850,4,1000,50,1.7814e-06
860,4,1000,50,1.7874e-06
870,4,1000,50,1.7583e-06
880,4,1000,50,1.7774000000000001e-06
890,4,1000,50,1.7984e-06
900,4,1000,50,1.7604000000000001e-06
910,4,1000,50,1.7814e-06
920,4,1000,50,1.7964e-06
930,4,1000,50,1.7924000000000002e-06
940,4,1000,50,1.7884e-06
950,4,1000,50,1.7753e-06
960,4,1000,50,1.7834000000000002e-06
970,4,1000,50,1.7742999999999999e-06
980,4,1000,50,1.8305e-06
990,4,1000,50,1.7882999999999999e-06
1000,4,1000,50,1.7944000000000001e-06
1010,4,1000,50,1.8084000000000001e-06
1020,4,1000,50,1.7904e-06
1030,4,1000,50,1.9928e-06
1040,4,1000,50,1.7773e-06
0,8,1000,50,1.7904e-06
10,8,1000,50,2.2642e-06
20,8,1000,50,1.8355e-06
30,8,1000,50,1.7822999999999999e-06
40,8,1000,50,1.7682999999999999e-06
50,8,1000,50,1.7822999999999999e-06
60,8,1000,50,1.7984e-06
70,8,1000,50,1.8444e-06
80,8,1000,50,1.7894000000000002e-06
90,8,1000,50,1.7753e-06
100,8,1000,50,1.7983e-06
110,8,1000,50,1.7673e-06
120,8,1000,50,2.2974000000000002e-06
130,8,1000,50,1.7744000000000001e-06
140,8,1000,50,1.9687e-06
150,8,1000,50,1.7563e-06
160,8,1000,50,1.7733e-06
170,8,1000,50,1.7874e-06
180,8,1000,50,1.8114000000000001e-06
190,8,1000,50,1.7764e-06
200,8,1000,50,1.7733e-06
210,8,1000,50,1.7733e-06
220,8,1000,50,1.7704e-06
230,8,1000,50,2.3114e-06
240,8,1000,50,1.8052999999999999e-06
250,8,1000,50,1.8295e-06
260,8,1000,50,1.7874e-06
270,8,1000,50,1.8144000000000002e-06
280,8,1000,50,1.7884e-06
290,8,1000,50,1.7783e-06
300,8,1000,50,1.7994e-06
310,8,1000,50,1.8054000000000001e-06
320,8,1000,50,1.7934e-06
330,8,1000,50,1.7814e-06
340,8,1000,50,2.3634e-06
350,8,1000,50,1.7933e-06
360,8,1000,50,1.7763e-06
370,8,1000,50,1.7633e-06
380,8,1000,50,1.7693e-06
390,8,1000,50,1.8425e-06
400,8,1000,50,1.7894000000000002e-06
410,8,1000,50,1.7822999999999999e-06
420,8,1000,50,1.7813e-06
430,8,1000,50,1.7994e-06
440,8,1000,50,1.8054000000000001e-06
450,8,1000,50,2.3514e-06
460,8,1000,50,1.8024e-06
470,8,1000,50,1.9707e-06
480,8,1000,50,1.7894000000000002e-06
490,8,1000,50,1.8094e-06
500,8,1000,50,1.7833e-06
510,8,1000,50,1.8034000000000002e-06
520,8,1000,50,1.7642e-06
530,8,1000,50,1.7813e-06
540,8,1000,50,1.7712999999999999e-06
550,8,1000,50,1.8004000000000002e-06
