# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
[c499-073.stampede2.tacc.utexas.edu:334917] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c499-111.stampede2.tacc.utexas.edu:64818] MCW rank 1 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
# OSU MPI Bandwidth Test v5.3
# Size      Bandwidth (MB/s)
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
[c499-073.stampede2.tacc.utexas.edu:336613] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c499-111.stampede2.tacc.utexas.edu:66281] MCW rank 1 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
# OSU MPI Bandwidth Test v5.3
# Size      Bandwidth (MB/s)
1                       4.52
2                       9.04
4                      17.88
8                      36.33
16                     65.51
32                    130.25
64                    264.89
128                   519.15
256                   974.20
512                  1829.41
1024                 3202.23
2048                 5119.61
4096                 7149.14
8192                 8346.20
16384                8117.11
32768               11129.18
65536               11872.10
131072              12139.82
262144              12255.08
524288              12299.81
1048576             12353.57
2097152             12370.27
4194304             12379.11
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
[c499-073.stampede2.tacc.utexas.edu:336937] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c499-111.stampede2.tacc.utexas.edu:66576] MCW rank 1 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
# OSU MPI Bandwidth Test v5.3
# Size      Bandwidth (MB/s)
1                       4.38
2                       8.83
4                      17.53
8                      35.05
16                     62.94
32                    126.31
64                    256.48
128                   509.51
256                   973.14
512                  1826.71
1024                 3177.54
2048                 5072.48
4096                 7087.86
8192                 8332.98
16384                8178.65
32768               11121.37
65536               11859.20
131072              12158.01
262144              12261.94
524288              12310.97
1048576             12368.65
2097152             12374.58
4194304             12382.13
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
[c499-073.stampede2.tacc.utexas.edu:337312] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c499-111.stampede2.tacc.utexas.edu:66888] MCW rank 1 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
# OSU MPI Bandwidth Test v5.3
# Size      Bandwidth (MB/s)
1                       4.45
2                       9.06
4                      17.88
8                      36.14
16                     64.89
32                    130.21
64                    261.89
128                   515.49
256                   971.89
512                  1820.98
1024                 3203.74
2048                 5091.13
4096                 7057.72
8192                 8357.57
16384                8240.74
32768               11287.22
65536               11828.36
131072              12130.81
262144              12238.20
524288              12310.92
1048576             12353.87
2097152             12374.48
4194304             12372.05
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings /home1/08302/tg876011/osu-micro-benchmarks/mpi/pt2pt/osu_bw
[c499-073.stampede2.tacc.utexas.edu:337350] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c499-111.stampede2.tacc.utexas.edu:66930] MCW rank 1 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
# OSU MPI Bandwidth Test v5.3
# Size      Bandwidth (MB/s)
1                       4.55
2                       9.12
4                      18.10
8                      36.28
16                     64.72
32                    130.65
64                    259.02
128                   515.67
256                   974.69
512                  1835.42
1024                 3166.78
2048                 5101.04
4096                 7188.16
8192                 8383.39
16384                8204.64
32768               11136.36
65536               11859.59
131072              12143.88
262144              12254.31
524288              12301.86
1048576             12356.72
2097152             12375.34
4194304             12368.42
