# /bin/srun --ntasks=2 python3 /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-bw-charm.py 1 4194304 64 1000 100 charm_bw_intersocket +pemap L0,1 +no_isomalloc_sync
Chare,Msg Size, Iterations, Bandwidth (MB/s)
# /bin/srun --ntasks=2 python3 /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-bw-charm.py 1 4194304 64 1000 100 charm_bw_intersocket +pemap L0,1 +no_isomalloc_sync
0,1,1000,0.07431297385154827
0,2,1000,0.15010598079751125
0,4,1000,0.30440518930237204
0,8,1000,0.6042864862090389
0,16,1000,1.2044112728811076
0,32,1000,2.415648328753575
0,64,1000,4.826771061147504
0,128,1000,9.62757233809251
0,256,1000,19.242841300841476
0,512,1000,38.11462590016307
0,1024,1000,74.49113183251085
0,2048,1000,147.20550973564895
0,4096,1000,287.0109504030935
0,8192,1000,534.6164283991625
0,16384,100,881.8820293353541
0,32768,100,1494.620992602885
0,65536,100,1775.539173258293
0,131072,100,2558.6234228577364
0,262144,100,898.3739503701823
0,524288,100,771.4383950408367
0,1048576,100,1090.6674112963142
0,2097152,100,784.1426040342012
0,4194304,100,1002.9369386569244
# /bin/srun --ntasks=2 python3 /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-bw-charm.py 1 4194304 64 1000 100 charm_bw_intersocket +pemap L0,1 +no_isomalloc_sync
0,1,1000,0.07401402007249229
0,2,1000,0.15141800095954838
0,4,1000,0.30272777116281996
0,8,1000,0.6049605792686028
0,16,1000,1.2101499686466062
0,32,1000,2.4231368786301988
0,64,1000,4.842937107251232
0,128,1000,9.638205545969287
0,256,1000,19.231766592490576
0,512,1000,37.99712569517879
0,1024,1000,74.21542204910016
0,2048,1000,145.95341049908598
0,4096,1000,286.09658262292623
0,8192,1000,536.7837688990746
0,16384,100,877.0299502852146
0,32768,100,1477.5446033963317
0,65536,100,1766.3240846531382
0,131072,100,2535.9845072768226
0,262144,100,871.4117101554996
0,524288,100,747.3842857091022
0,1048576,100,986.7306697422833
0,2097152,100,734.1582040595814
0,4194304,100,951.7933630098022
