# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by core --bind-to core --report-bindings python3 /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-bw-mpi.py 1 4194304 64 1000 100 mpi_bw_intrasocket
[c476-101.stampede2.tacc.utexas.edu:190832] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c476-101.stampede2.tacc.utexas.edu:190832] MCW rank 1 bound to socket 0[core 1[hwt 0-1]]: [../BB/../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
Process,Msg Size, Iterations, Bandwidth (MB/s)
[c476-101.stampede2.tacc.utexas.edu:193149] MCW rank 1 bound to socket 0[core 1[hwt 0-1]]: [../BB/../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
Process,Msg Size, Iterations, Bandwidth (MB/s)
0,1,1000,1.049259597366772
0,2,1000,2.1543429412785975
0,4,1000,4.28034936786507
0,8,1000,8.656007929276022
0,16,1000,16.887398960066694
0,32,1000,31.729659000992946
0,64,1000,60.472126543970234
0,128,1000,124.95858407181025
0,256,1000,244.84893361102442
0,512,1000,490.2234462437444
0,1024,1000,953.0268708488892
0,2048,1000,1830.8344398062825
0,4096,1000,3358.707452453759
0,8192,1000,5402.014025118009
0,16384,100,5673.60328938314
0,32768,100,8724.902926574956
0,65536,100,11907.885342703648
0,131072,100,13962.869254443598
0,262144,100,15468.005219268964
0,524288,100,13984.84222235093
0,1048576,100,12190.890903075595
0,2097152,100,10121.254164529555
0,4194304,100,10096.820350137654
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by core --bind-to core --report-bindings python3 /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-bw-mpi.py 1 4194304 64 1000 100 mpi_bw_intrasocket
[c476-101.stampede2.tacc.utexas.edu:194322] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c476-101.stampede2.tacc.utexas.edu:194322] MCW rank 1 bound to socket 0[core 1[hwt 0-1]]: [../BB/../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
Process,Msg Size, Iterations, Bandwidth (MB/s)
0,1,1000,1.0450035726255642
0,2,1000,2.129011050757519
0,4,1000,4.272592795677237
0,8,1000,8.53378707331283
0,16,1000,16.773536039349764
0,32,1000,31.011255860533012
0,64,1000,59.498607521437336
0,128,1000,123.23749060871181
0,256,1000,244.82056679781704
0,512,1000,484.50555114508325
0,1024,1000,938.038726076473
0,2048,1000,1831.8495857696614
0,4096,1000,3358.4631956390076
0,8192,1000,5329.583258755724
0,16384,100,5757.451995879138
0,32768,100,8765.246885804012
0,65536,100,12260.184759144342
0,131072,100,14691.566390271126
0,262144,100,16239.61587431416
0,524288,100,15404.135612347027
0,1048576,100,12175.54723041194
0,2097152,100,9762.104973937345
0,4194304,100,9844.172147998941
