# /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-lat-charm.py 1 4194304 1000 500 0 charm_lat_intrasocket +pemap L0,2 +no_isomalloc_sync
Message size,Grouping,Total Iterations,Warmup,Latency (us)
1.0,0.0,1000.0,60.0,15.740375
1.0,20.0,1000.0,60.0,11.89075
1.0,40.0,1000.0,60.0,11.6278
1.0,60.0,1000.0,60.0,11.686875
1.0,80.0,1000.0,60.0,11.574875
1.0,100.0,1000.0,60.0,11.49535
1.0,120.0,1000.0,60.0,11.5824
1.0,140.0,1000.0,60.0,11.4968
1.0,160.0,1000.0,60.0,11.711975
1.0,180.0,1000.0,60.0,11.4725
1.0,200.0,1000.0,60.0,11.5128
1.0,220.0,1000.0,60.0,11.174875
1.0,240.0,1000.0,60.0,10.6265
1.0,260.0,1000.0,60.0,9.9463
1.0,280.0,1000.0,60.0,9.934475
1.0,300.0,1000.0,60.0,10.02275
1.0,320.0,1000.0,60.0,9.90445
1.0,340.0,1000.0,60.0,10.1282
1.0,360.0,1000.0,60.0,10.053625
1.0,380.0,1000.0,60.0,9.94825
1.0,400.0,1000.0,60.0,9.9902
1.0,420.0,1000.0,60.0,9.9508
1.0,440.0,1000.0,60.0,10.051725
1.0,460.0,1000.0,60.0,9.9516
1.0,480.0,1000.0,60.0,10.036025
1.0,500.0,1000.0,60.0,10.11435
1.0,520.0,1000.0,60.0,9.89455
1.0,540.0,1000.0,60.0,10.0641
1.0,560.0,1000.0,60.0,9.93
1.0,580.0,1000.0,60.0,9.847325
1.0,600.0,1000.0,60.0,9.99395
1.0,620.0,1000.0,60.0,9.8662
1.0,640.0,1000.0,60.0,9.9179
1.0,660.0,1000.0,60.0,9.8646
1.0,680.0,1000.0,60.0,9.84945
1.0,700.0,1000.0,60.0,9.87755
1.0,720.0,1000.0,60.0,9.750325
1.0,740.0,1000.0,60.0,9.9077
1.0,760.0,1000.0,60.0,9.826275
1.0,780.0,1000.0,60.0,9.866925
1.0,800.0,1000.0,60.0,10.0538
1.0,820.0,1000.0,60.0,9.939075
1.0,840.0,1000.0,60.0,9.985425
1.0,860.0,1000.0,60.0,9.856825
1.0,880.0,1000.0,60.0,9.888425
1.0,900.0,1000.0,60.0,9.997275
1.0,920.0,1000.0,60.0,9.828675
1.0,940.0,1000.0,60.0,10.035125
1.0,960.0,1000.0,60.0,9.86515
1.0,980.0,1000.0,60.0,9.89865
1.0,1000.0,1000.0,60.0,10.15605
1.0,1020.0,1000.0,60.0,10.33215
1.0,1040.0,1000.0,60.0,10.007525
2.0,0.0,1000.0,60.0,11.0683
2.0,20.0,1000.0,60.0,10.036325
2.0,40.0,1000.0,60.0,9.7934
2.0,60.0,1000.0,60.0,9.7906
2.0,80.0,1000.0,60.0,9.821025
2.0,100.0,1000.0,60.0,9.7254
2.0,120.0,1000.0,60.0,9.8896
2.0,140.0,1000.0,60.0,9.807225
2.0,160.0,1000.0,60.0,9.7236
2.0,180.0,1000.0,60.0,9.968625
2.0,200.0,1000.0,60.0,9.57325
2.0,220.0,1000.0,60.0,9.742575
2.0,240.0,1000.0,60.0,9.616225
2.0,260.0,1000.0,60.0,9.7571
2.0,280.0,1000.0,60.0,10.014375
2.0,300.0,1000.0,60.0,9.699475
2.0,320.0,1000.0,60.0,9.802
2.0,340.0,1000.0,60.0,9.74065
2.0,360.0,1000.0,60.0,9.79525
2.0,380.0,1000.0,60.0,9.886575
2.0,400.0,1000.0,60.0,9.770475
2.0,420.0,1000.0,60.0,10.010325
2.0,440.0,1000.0,60.0,9.846325
2.0,460.0,1000.0,60.0,9.883075
2.0,480.0,1000.0,60.0,9.9775
2.0,500.0,1000.0,60.0,9.812325
2.0,520.0,1000.0,60.0,9.92045
2.0,540.0,1000.0,60.0,9.7631
2.0,560.0,1000.0,60.0,9.76915
2.0,580.0,1000.0,60.0,9.947575
2.0,600.0,1000.0,60.0,9.739675
2.0,620.0,1000.0,60.0,9.7683
2.0,640.0,1000.0,60.0,9.91555
2.0,660.0,1000.0,60.0,9.768525
2.0,680.0,1000.0,60.0,9.81205
2.0,700.0,1000.0,60.0,9.772075
2.0,720.0,1000.0,60.0,9.6985
2.0,740.0,1000.0,60.0,9.919875
2.0,760.0,1000.0,60.0,10.09775
2.0,780.0,1000.0,60.0,9.914425
2.0,800.0,1000.0,60.0,9.781475
2.0,820.0,1000.0,60.0,9.65635
2.0,840.0,1000.0,60.0,9.821825
2.0,860.0,1000.0,60.0,9.81225
2.0,880.0,1000.0,60.0,9.868625
2.0,900.0,1000.0,60.0,9.718775
2.0,920.0,1000.0,60.0,9.7359
2.0,940.0,1000.0,60.0,9.819375
2.0,960.0,1000.0,60.0,9.79735
2.0,980.0,1000.0,60.0,9.911075
2.0,1000.0,1000.0,60.0,9.7623
2.0,1020.0,1000.0,60.0,9.728525
2.0,1040.0,1000.0,60.0,9.84835
4.0,0.0,1000.0,60.0,11.2023
4.0,20.0,1000.0,60.0,9.94705
4.0,40.0,1000.0,60.0,9.6698
4.0,60.0,1000.0,60.0,9.89805
4.0,80.0,1000.0,60.0,9.62725
4.0,100.0,1000.0,60.0,9.54195
4.0,120.0,1000.0,60.0,9.627625
4.0,140.0,1000.0,60.0,9.536675
4.0,160.0,1000.0,60.0,9.642275
4.0,180.0,1000.0,60.0,9.907325
4.0,200.0,1000.0,60.0,9.673475
4.0,220.0,1000.0,60.0,9.70945
4.0,240.0,1000.0,60.0,9.71045
4.0,260.0,1000.0,60.0,9.7366
4.0,280.0,1000.0,60.0,9.784975
4.0,300.0,1000.0,60.0,9.7037
4.0,320.0,1000.0,60.0,9.821775
4.0,340.0,1000.0,60.0,9.650675
4.0,360.0,1000.0,60.0,9.6403
4.0,380.0,1000.0,60.0,9.80445
4.0,400.0,1000.0,60.0,9.7601
4.0,420.0,1000.0,60.0,9.896475
4.0,440.0,1000.0,60.0,9.645
4.0,460.0,1000.0,60.0,9.786175
4.0,480.0,1000.0,60.0,9.925125
4.0,500.0,1000.0,60.0,9.781725
4.0,520.0,1000.0,60.0,9.86335
4.0,540.0,1000.0,60.0,9.7728
4.0,560.0,1000.0,60.0,9.783425
4.0,580.0,1000.0,60.0,9.94145
4.0,600.0,1000.0,60.0,9.93065
4.0,620.0,1000.0,60.0,9.976275
4.0,640.0,1000.0,60.0,9.882
4.0,660.0,1000.0,60.0,9.9578
4.0,680.0,1000.0,60.0,9.99865
4.0,700.0,1000.0,60.0,9.814525
4.0,720.0,1000.0,60.0,9.857975
4.0,740.0,1000.0,60.0,9.78425
4.0,760.0,1000.0,60.0,9.9426
4.0,780.0,1000.0,60.0,9.998325
4.0,800.0,1000.0,60.0,9.772575
4.0,820.0,1000.0,60.0,9.872225
4.0,840.0,1000.0,60.0,10.094475
4.0,860.0,1000.0,60.0,9.793375
4.0,880.0,1000.0,60.0,9.9361
4.0,900.0,1000.0,60.0,9.8421
4.0,920.0,1000.0,60.0,9.9218
4.0,940.0,1000.0,60.0,10.033275
4.0,960.0,1000.0,60.0,9.9204
4.0,980.0,1000.0,60.0,10.04235
4.0,1000.0,1000.0,60.0,9.91445
4.0,1020.0,1000.0,60.0,9.963
4.0,1040.0,1000.0,60.0,9.925175
8.0,0.0,1000.0,60.0,10.937475
8.0,20.0,1000.0,60.0,9.97075
8.0,40.0,1000.0,60.0,9.6852
8.0,60.0,1000.0,60.0,9.9497
8.0,80.0,1000.0,60.0,9.825725
8.0,100.0,1000.0,60.0,9.66855
8.0,120.0,1000.0,60.0,9.8086
8.0,140.0,1000.0,60.0,9.710875
8.0,160.0,1000.0,60.0,9.82045
8.0,180.0,1000.0,60.0,10.0975
8.0,200.0,1000.0,60.0,9.661275
8.0,220.0,1000.0,60.0,9.74655
8.0,240.0,1000.0,60.0,9.7005
8.0,260.0,1000.0,60.0,9.969275
8.0,280.0,1000.0,60.0,9.8424
8.0,300.0,1000.0,60.0,9.86605
8.0,320.0,1000.0,60.0,9.886675
8.0,340.0,1000.0,60.0,9.761125
8.0,360.0,1000.0,60.0,9.9834
8.0,380.0,1000.0,60.0,9.776775
8.0,400.0,1000.0,60.0,9.806275
8.0,420.0,1000.0,60.0,9.809075
8.0,440.0,1000.0,60.0,9.891375
8.0,460.0,1000.0,60.0,9.86095
8.0,480.0,1000.0,60.0,9.745875
8.0,500.0,1000.0,60.0,9.6671
8.0,520.0,1000.0,60.0,9.748275
8.0,540.0,1000.0,60.0,9.8433
8.0,560.0,1000.0,60.0,9.794475
8.0,580.0,1000.0,60.0,9.85015
8.0,600.0,1000.0,60.0,9.85705
8.0,620.0,1000.0,60.0,9.967
8.0,640.0,1000.0,60.0,9.84995
8.0,660.0,1000.0,60.0,9.805
8.0,680.0,1000.0,60.0,9.81525
8.0,700.0,1000.0,60.0,9.675125
8.0,720.0,1000.0,60.0,10.03655
8.0,740.0,1000.0,60.0,9.852725
8.0,760.0,1000.0,60.0,9.8164
8.0,780.0,1000.0,60.0,9.799425
8.0,800.0,1000.0,60.0,9.6817
8.0,820.0,1000.0,60.0,9.84125
8.0,840.0,1000.0,60.0,9.745325
8.0,860.0,1000.0,60.0,9.704025
8.0,880.0,1000.0,60.0,9.94115
8.0,900.0,1000.0,60.0,9.76735
8.0,920.0,1000.0,60.0,9.86115
8.0,940.0,1000.0,60.0,9.744925
8.0,960.0,1000.0,60.0,9.717075
8.0,980.0,1000.0,60.0,9.919125
8.0,1000.0,1000.0,60.0,9.7235
8.0,1020.0,1000.0,60.0,9.758525
8.0,1040.0,1000.0,60.0,9.724475
16.0,0.0,1000.0,60.0,10.824375
16.0,20.0,1000.0,60.0,9.908825
16.0,40.0,1000.0,60.0,9.662075
16.0,60.0,1000.0,60.0,9.890675
16.0,80.0,1000.0,60.0,9.749625
16.0,100.0,1000.0,60.0,9.672
16.0,120.0,1000.0,60.0,9.786825
16.0,140.0,1000.0,60.0,9.618325
16.0,160.0,1000.0,60.0,10.254325
16.0,180.0,1000.0,60.0,9.7599
16.0,200.0,1000.0,60.0,9.550525
16.0,220.0,1000.0,60.0,9.8408
16.0,240.0,1000.0,60.0,9.71215
16.0,260.0,1000.0,60.0,9.95675
16.0,280.0,1000.0,60.0,10.02615
16.0,300.0,1000.0,60.0,9.8946
16.0,320.0,1000.0,60.0,10.133925
16.0,340.0,1000.0,60.0,9.879375
16.0,360.0,1000.0,60.0,9.955925
16.0,380.0,1000.0,60.0,9.848675
16.0,400.0,1000.0,60.0,9.91585
16.0,420.0,1000.0,60.0,9.927725
16.0,440.0,1000.0,60.0,9.881925
16.0,460.0,1000.0,60.0,10.028675
16.0,480.0,1000.0,60.0,10.64875
16.0,500.0,1000.0,60.0,10.308975
16.0,520.0,1000.0,60.0,10.4798
16.0,540.0,1000.0,60.0,9.821525
16.0,560.0,1000.0,60.0,9.89515
16.0,580.0,1000.0,60.0,9.8898
16.0,600.0,1000.0,60.0,9.7647
16.0,620.0,1000.0,60.0,9.8408
16.0,640.0,1000.0,60.0,9.746575
16.0,660.0,1000.0,60.0,9.862225
16.0,680.0,1000.0,60.0,9.790425
16.0,700.0,1000.0,60.0,9.71425
16.0,720.0,1000.0,60.0,10.52355
16.0,740.0,1000.0,60.0,10.03685
16.0,760.0,1000.0,60.0,10.1524
16.0,780.0,1000.0,60.0,9.88825
16.0,800.0,1000.0,60.0,9.970875
16.0,820.0,1000.0,60.0,10.0844
16.0,840.0,1000.0,60.0,10.0901
16.0,860.0,1000.0,60.0,10.177325
16.0,880.0,1000.0,60.0,9.99895
16.0,900.0,1000.0,60.0,10.0658
