# /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-lat-charm.py 1 4194304 1000 500 0 charm_lat_intrasocket +pemap L0,2 +no_isomalloc_sync
Message size,Grouping,Total Iterations,Warmup,Latency (us)
1.0,0.0,1000.0,60.0,15.99255
1.0,20.0,1000.0,60.0,12.063175
1.0,40.0,1000.0,60.0,12.1365
1.0,60.0,1000.0,60.0,11.99985
1.0,80.0,1000.0,60.0,11.98315
1.0,100.0,1000.0,60.0,11.865275
1.0,120.0,1000.0,60.0,11.8755
1.0,140.0,1000.0,60.0,12.4067
1.0,160.0,1000.0,60.0,12.277025
1.0,180.0,1000.0,60.0,12.08825
1.0,200.0,1000.0,60.0,12.22385
1.0,220.0,1000.0,60.0,11.9899
1.0,240.0,1000.0,60.0,11.0567
1.0,260.0,1000.0,60.0,10.09735
1.0,280.0,1000.0,60.0,10.156325
1.0,300.0,1000.0,60.0,10.34485
1.0,320.0,1000.0,60.0,10.1171
1.0,340.0,1000.0,60.0,10.179025
1.0,360.0,1000.0,60.0,10.166425
1.0,380.0,1000.0,60.0,10.17995
1.0,400.0,1000.0,60.0,10.285225
1.0,420.0,1000.0,60.0,10.196875
1.0,440.0,1000.0,60.0,10.304825
1.0,460.0,1000.0,60.0,10.11515
1.0,480.0,1000.0,60.0,10.229475
1.0,500.0,1000.0,60.0,10.2379
1.0,520.0,1000.0,60.0,10.054675
1.0,540.0,1000.0,60.0,10.181625
1.0,560.0,1000.0,60.0,10.099975
1.0,580.0,1000.0,60.0,10.1632
1.0,600.0,1000.0,60.0,10.0912
1.0,620.0,1000.0,60.0,10.18985
1.0,640.0,1000.0,60.0,10.31715
1.0,660.0,1000.0,60.0,10.14535
1.0,680.0,1000.0,60.0,10.347275
1.0,700.0,1000.0,60.0,10.134575
1.0,720.0,1000.0,60.0,10.1344
1.0,740.0,1000.0,60.0,10.261025
1.0,760.0,1000.0,60.0,10.16245
1.0,780.0,1000.0,60.0,10.25255
1.0,800.0,1000.0,60.0,10.222475
1.0,820.0,1000.0,60.0,10.254
1.0,840.0,1000.0,60.0,10.21165
1.0,860.0,1000.0,60.0,10.07955
1.0,880.0,1000.0,60.0,10.152925
1.0,900.0,1000.0,60.0,10.0706
