# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings python3 /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-bw-mpi.py 1 4194304 64 1000 100 mpi_bw_intersocket
[c476-101.stampede2.tacc.utexas.edu:190788] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c476-101.stampede2.tacc.utexas.edu:190788] MCW rank 1 bound to socket 1[core 24[hwt 0-1]]: [../../../../../../../../../../../../../../../../../../../../../../../..][BB/../../../../../../../../../../../../../../../../../../../../../../..]
Process,Msg Size, Iterations, Bandwidth (MB/s)
[c476-101.stampede2.tacc.utexas.edu:193476] MCW rank 1 bound to socket 1[core 24[hwt 0-1]]: [../../../../../../../../../../../../../../../../../../../../../../../..][BB/../../../../../../../../../../../../../../../../../../../../../../..]
Process,Msg Size, Iterations, Bandwidth (MB/s)
0,1,1000,0.9510718619427302
0,2,1000,1.9320536305284792
0,4,1000,3.8462711586963305
0,8,1000,7.695866787025624
0,16,1000,15.246452700013526
0,32,1000,22.524857802988144
0,64,1000,45.998429074080036
0,128,1000,91.86265502581266
0,256,1000,182.04342373136933
0,512,1000,363.4766079886942
0,1024,1000,692.4290917635473
0,2048,1000,1222.4820100260254
0,4096,1000,2003.5200507452826
0,8192,1000,2767.881669655353
0,16384,100,5591.872661852414
0,32768,100,8693.105529342332
0,65536,100,11920.738641623026
0,131072,100,14288.428454440262
0,262144,100,16165.439363433172
0,524288,100,14915.903052486012
0,1048576,100,11512.93187363335
0,2097152,100,9493.988308968304
0,4194304,100,9703.583998525977
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings python3 /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-bw-mpi.py 1 4194304 64 1000 100 mpi_bw_intersocket
[c476-101.stampede2.tacc.utexas.edu:194366] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c476-101.stampede2.tacc.utexas.edu:194366] MCW rank 1 bound to socket 1[core 24[hwt 0-1]]: [../../../../../../../../../../../../../../../../../../../../../../../..][BB/../../../../../../../../../../../../../../../../../../../../../../..]
Process,Msg Size, Iterations, Bandwidth (MB/s)
0,1,1000,0.5532608185474018
0,2,1000,1.9424568700978437
0,4,1000,3.9583693954888273
0,8,1000,8.24740429872519
0,16,1000,15.949192831796312
0,32,1000,24.58540523985582
0,64,1000,49.16622335297129
0,128,1000,99.37691381668965
0,256,1000,195.98384906533448
0,512,1000,376.5110574269493
0,1024,1000,699.2329155571209
0,2048,1000,1254.577818608843
0,4096,1000,2178.2057517858366
0,8192,1000,2843.6211665554442
0,16384,100,5756.8711724338955
0,32768,100,8587.098802726348
0,65536,100,12016.995066218076
0,131072,100,14160.48824248928
0,262144,100,15806.223972750426
0,524288,100,14412.131611421704
0,1048576,100,11535.117944272422
0,2097152,100,9708.336722333619
0,4194304,100,9495.075149706186
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings python3 /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-bw-mpi.py 1 4194304 64 1000 100 mpi_bw_intersocket
[c476-101.stampede2.tacc.utexas.edu:194496] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c476-101.stampede2.tacc.utexas.edu:194496] MCW rank 1 bound to socket 1[core 24[hwt 0-1]]: [../../../../../../../../../../../../../../../../../../../../../../../..][BB/../../../../../../../../../../../../../../../../../../../../../../..]
Process,Msg Size, Iterations, Bandwidth (MB/s)
0,1,1000,0.9668939537052096
0,2,1000,1.9798059903848169
0,4,1000,3.9428738939037826
0,8,1000,7.803887864874744
0,16,1000,15.592831301417686
0,32,1000,22.78529866581105
0,64,1000,46.52675975112234
0,128,1000,93.4561718161011
0,256,1000,184.31285234036554
0,512,1000,367.0947608297339
0,1024,1000,660.8650828323656
0,2048,1000,1185.9970531342904
0,4096,1000,2033.6098439242048
0,8192,1000,2749.254443455389
0,16384,100,5682.123670266745
0,32768,100,8773.00288983646
0,65536,100,12117.13975255832
0,131072,100,14328.387110350688
0,262144,100,16215.699890168817
0,524288,100,14531.40211943804
0,1048576,100,11856.814212839869
0,2097152,100,9755.493809905822
0,4194304,100,9900.238972376792
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings python3 /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-bw-mpi.py 1 4194304 64 1000 100 mpi_bw_intersocket
[c476-101.stampede2.tacc.utexas.edu:195213] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c476-101.stampede2.tacc.utexas.edu:195213] MCW rank 1 bound to socket 1[core 24[hwt 0-1]]: [../../../../../../../../../../../../../../../../../../../../../../../..][BB/../../../../../../../../../../../../../../../../../../../../../../..]
Process,Msg Size, Iterations, Bandwidth (MB/s)
0,1,1000,0.9034137960908546
0,2,1000,1.9181431411262233
0,4,1000,3.714118106342032
0,8,1000,7.685220578777452
0,16,1000,14.090743038173258
0,32,1000,21.61427153880417
