#/home1/08302/tg876011/charm-mpi-compare/stencil/stencil-charm.py 384 100 24576 12288 weak_scaling_results +no_isomalloc_sync
Process,Num processes,Iteration,Iteration Time,Communication Time,Computation Time
0,384,1,0.553443526,0.384030865,0.169412661
0,384,2,0.164132131,0.161094653,0.003037478
0,384,3,0.098339614,0.095306735,0.003032879
0,384,4,0.003561792,0.000532364,0.003029428
0,384,5,0.003612415,0.000586127,0.003026288
0,384,6,0.014416421,0.011100196,0.003316225
0,384,7,0.004621561,0.001164543,0.003457018
0,384,8,0.0046271,0.000969115,0.003657985
0,384,9,0.008735119,0.005655649,0.00307947
0,384,10,0.004149922,0.001084121,0.003065801
0,384,11,0.003820175,0.000765684,0.003054491
0,384,12,0.021538508,0.018465093,0.003073415
0,384,13,0.00427147,0.001188726,0.003082744
0,384,14,0.004076099,0.001017704,0.003058395
0,384,15,0.003947306,0.000850352,0.003096954
0,384,16,0.003874662,0.000781664,0.003092998
0,384,17,0.003732351,0.000596319,0.003136032
0,384,18,0.014090278,0.010874024,0.003216254
0,384,19,0.00550873,0.002251964,0.003256766
0,384,20,0.005402401,0.00194544,0.003456961
0,384,21,0.005119832,0.001710871,0.003408961
0,384,22,0.00538512,0.001735987,0.003649133
0,384,23,0.004693494,0.001260303,0.003433191
0,384,24,0.005208302,0.001570204,0.003638098
0,384,25,0.005424494,0.001784141,0.003640353
0,384,26,0.004801551,0.001130047,0.003671504
0,384,27,0.004900612,0.001281538,0.003619074
0,384,28,0.004764397,0.00097693,0.003787467
0,384,29,0.004577435,0.000820784,0.003756651
0,384,30,0.004762654,0.000923221,0.003839433
0,384,31,0.004439441,0.000829764,0.003609677
0,384,32,0.004761303,0.001038484,0.003722819
0,384,33,0.005070094,0.001208708,0.003861386
0,384,34,0.004592012,0.000833327,0.003758685
0,384,35,0.004948519,0.001165555,0.003782964
0,384,36,0.004830121,0.000997053,0.003833068
0,384,37,0.004727993,0.000825687,0.003902306
0,384,38,0.004562223,0.000804111,0.003758112
0,384,39,0.004559878,0.000761249,0.003798629
0,384,40,0.004359743,0.000615155,0.003744588
0,384,41,0.00472815,0.000863576,0.003864574
0,384,42,0.004556224,0.000800397,0.003755827
0,384,43,0.006508056,0.002958527,0.003549529
0,384,44,0.005140564,0.001604651,0.003535913
0,384,45,0.004649697,0.001173527,0.00347617
0,384,46,0.004391712,0.000929662,0.00346205
0,384,47,0.004685649,0.001188482,0.003497167
0,384,48,0.004770647,0.001171399,0.003599248
0,384,49,0.006028724,0.002293383,0.003735341
0,384,50,0.005073423,0.001374239,0.003699184
0,384,51,0.004912926,0.001221387,0.003691539
0,384,52,0.004776288,0.001095114,0.003681174
0,384,53,0.004607638,0.000955825,0.003651813
0,384,54,0.004572327,0.00105783,0.003514497
0,384,55,0.004528602,0.00092325,0.003605352
0,384,56,0.004712808,0.001097805,0.003615003
0,384,57,0.004657727,0.001039378,0.003618349
0,384,58,0.00456103,0.00100958,0.00355145
0,384,59,0.004715927,0.001116425,0.003599502
0,384,60,0.005067849,0.001413237,0.003654612
0,384,61,0.004751734,0.001001414,0.00375032
0,384,62,0.004235492,0.000685082,0.00355041
0,384,63,0.004569343,0.000931565,0.003637778
0,384,64,0.00423614,0.0007185,0.00351764
0,384,65,0.004169907,0.00080709,0.003362817
0,384,66,0.004335545,0.000949202,0.003386343
0,384,67,0.004224649,0.000806775,0.003417874
0,384,68,0.004272174,0.000798012,0.003474162
0,384,69,0.004165374,0.000666058,0.003499316
0,384,70,0.004409844,0.000835039,0.003574805
0,384,71,0.004356124,0.001056255,0.003299869
0,384,72,0.008196862,0.004600412,0.00359645
0,384,73,0.004931368,0.001335948,0.00359542
0,384,74,0.004889592,0.001257921,0.003631671
0,384,75,0.005015171,0.001354514,0.003660657
0,384,76,0.005260163,0.001446146,0.003814017
0,384,77,0.004960117,0.001139783,0.003820334
0,384,78,0.00501186,0.001095971,0.003915889
0,384,79,0.00460431,0.000742608,0.003861702
0,384,80,0.004995803,0.001288193,0.00370761
0,384,81,0.004607366,0.000929447,0.003677919
0,384,82,0.004844203,0.001120533,0.00372367
0,384,83,0.004700566,0.000906425,0.003794141
0,384,84,0.004485478,0.000761246,0.003724232
0,384,85,0.004514012,0.000779298,0.003734714
0,384,86,0.004746931,0.001089848,0.003657083
0,384,87,0.004630796,0.000882136,0.00374866
0,384,88,0.004490733,0.000821331,0.003669402
0,384,89,0.004894341,0.001018143,0.003876198
0,384,90,0.004614914,0.000882706,0.003732208
0,384,91,0.004609624,0.000895439,0.003714185
0,384,92,0.004693911,0.000938566,0.003755345
0,384,93,0.004564286,0.000737915,0.003826371
0,384,94,0.004822378,0.000945999,0.003876379
0,384,95,0.005041518,0.001137975,0.003903543
0,384,96,0.005064682,0.001121504,0.003943178
0,384,97,0.00461654,0.000718115,0.003898425
0,384,98,0.004679995,0.000744638,0.003935357
0,384,99,0.004569639,0.000746837,0.003822802
0,384,100,0.004512018,0.000777599,0.003734419
0,384,101,0.004344613,0.000666973,0.00367764
0,384,102,0.004856908,0.001232724,0.003624184
0,384,103,0.006402921,0.002979302,0.003423619
0,384,104,0.005526892,0.002029611,0.003497281
0,384,105,0.004591408,0.001088383,0.003503025
0,384,106,0.004686224,0.001202474,0.00348375
0,384,107,0.004304442,0.000856703,0.003447739
0,384,108,0.004096615,0.000719888,0.003376727
0,384,109,0.004026306,0.00070092,0.003325386
0,384,110,0.004207063,0.0010029,0.003204163
1,384,1,0.618142457,0.493364844,0.124777613
1,384,2,0.194415175,0.191388047,0.003027128
1,384,3,0.003601381,0.000574974,0.003026407
1,384,4,0.003449937,0.000429061,0.003020876
1,384,5,0.014058847,0.01086516,0.003193687
1,384,6,0.004652054,0.001263336,0.003388718
1,384,7,0.004421464,0.000974435,0.003447029
1,384,8,0.009216145,0.006139624,0.003076521
1,384,9,0.004274095,0.001182316,0.003091779
1,384,10,0.003500341,0.000439553,0.003060788
1,384,11,0.021937238,0.018880846,0.003056392
1,384,12,0.004202293,0.001151434,0.003050859
1,384,13,0.003929417,0.000857174,0.003072243
1,384,14,0.003596191,0.00053123,0.003064961
1,384,15,0.003771106,0.000675607,0.003095499
1,384,16,0.00369184,0.000610973,0.003080867
1,384,17,0.013072128,0.009943207,0.003128921
1,384,18,0.005874603,0.002656668,0.003217935
1,384,19,0.004999484,0.001724593,0.003274891
1,384,20,0.005398925,0.002075129,0.003323796
1,384,21,0.00511052,0.00172196,0.00338856
1,384,22,0.005413414,0.001806623,0.003606791
1,384,23,0.004663225,0.001242369,0.003420856
1,384,24,0.005305429,0.001740329,0.0035651
1,384,25,0.004794265,0.0012942,0.003500065
1,384,26,0.004953824,0.001291353,0.003662471
1,384,27,0.004368578,0.000847276,0.003521302
1,384,28,0.005104891,0.001283069,0.003821822
1,384,29,0.004509872,0.000865732,0.00364414
1,384,30,0.005041019,0.001274308,0.003766711
1,384,31,0.004685226,0.001027628,0.003657598
1,384,32,0.004895747,0.001127768,0.003767979
1,384,33,0.004487443,0.000795761,0.003691682
1,384,34,0.005001212,0.001262826,0.003738386
1,384,35,0.004747057,0.0010071,0.003739957
1,384,36,0.004520428,0.00078004,0.003740388
1,384,37,0.004628806,0.000884,0.003744806
1,384,38,0.004948095,0.001215997,0.003732098
1,384,39,0.004407048,0.000705518,0.00370153
1,384,40,0.004505556,0.000762761,0.003742795
1,384,41,0.00475164,0.000996565,0.003755075
1,384,42,0.007217766,0.003701268,0.003516498
1,384,43,0.005044356,0.001489354,0.003555002
