#/home1/08302/tg876011/charm-mpi-compare/stencil/stencil-charm.py 192 100 12288 12288 weak_scaling_results +no_isomalloc_sync
Process,Num processes,Iteration,Iteration Time,Communication Time,Computation Time
0,192,1,0.483369723,0.314142603,0.16922712
0,192,2,0.183534102,0.180470497,0.003063605
0,192,3,0.087531831,0.084458774,0.003073057
0,192,4,0.058373206,0.05529526,0.003077946
0,192,5,0.027540338,0.024470401,0.003069937
0,192,6,0.042265208,0.039202129,0.003063079
0,192,7,0.003752849,0.00069434,0.003058509
0,192,8,0.028997637,0.025939623,0.003058014
0,192,9,0.00391741,0.000873721,0.003043689
0,192,10,0.116693589,0.113628036,0.003065553
0,192,11,0.003970355,0.000899574,0.003070781
0,192,12,0.016165847,0.013080054,0.003085793
0,192,13,0.006227874,0.003118901,0.003108973
0,192,14,0.006621289,0.00352837,0.003092919
0,192,15,0.006177173,0.003065701,0.003111472
0,192,16,0.006446066,0.003344377,0.003101689
0,192,17,0.007342404,0.00422627,0.003116134
0,192,18,0.006570336,0.003444932,0.003125404
0,192,19,0.006187826,0.003066199,0.003121627
0,192,20,0.006436883,0.003273311,0.003163572
0,192,21,0.006801613,0.00346586,0.003335753
0,192,22,0.006674052,0.003448426,0.003225626
0,192,23,0.006399663,0.003171647,0.003228016
0,192,24,0.006646069,0.003493436,0.003152633
0,192,25,0.003332502,0.000238096,0.003094406
0,192,26,0.006386444,0.003309887,0.003076557
0,192,27,0.006529053,0.003453975,0.003075078
0,192,28,0.007022733,0.0039175,0.003105233
0,192,29,0.006803942,0.003740236,0.003063706
0,192,30,0.007053055,0.00398049,0.003072565
0,192,31,0.007153984,0.004089027,0.003064957
0,192,32,0.007153998,0.004054884,0.003099114
0,192,33,0.007071075,0.003955722,0.003115353
0,192,34,0.007331776,0.004220073,0.003111703
0,192,35,0.008088929,0.004977591,0.003111338
0,192,36,0.009476658,0.006365522,0.003111136
0,192,37,0.006875088,0.003775741,0.003099347
0,192,38,0.006892511,0.003819256,0.003073255
0,192,39,0.007049956,0.003972925,0.003077031
0,192,40,0.00695408,0.003860068,0.003094012
0,192,41,0.007066481,0.003996501,0.00306998
0,192,42,0.006951265,0.003886092,0.003065173
0,192,43,0.007054919,0.00397723,0.003077689
0,192,44,0.007119791,0.004043305,0.003076486
0,192,45,0.00706246,0.003995732,0.003066728
0,192,46,0.007035141,0.003972635,0.003062506
0,192,47,0.007216206,0.00413393,0.003082276
0,192,48,0.007120057,0.003988081,0.003131976
0,192,49,0.007682641,0.00436803,0.003314611
0,192,50,0.008110439,0.004599248,0.003511191
0,192,51,0.005196174,0.001208463,0.003987711
0,192,52,0.004557948,0.000595819,0.003962129
0,192,53,0.004330264,0.00042564,0.003904624
0,192,54,0.004540885,0.000503103,0.004037782
