#/home1/08302/tg876011/charm-mpi-compare/stencil/stencil-mpi.py 100 6144 6144 weak_scaling_results
Process,Iteration,Iteration Time,Communication Time,Computation Time
0,1,0.484422223,0.356898344,0.127523879
0,2,0.13727327,0.134236981,0.003036289
0,3,0.146919821,0.143185851,0.00373397
0,4,0.004221148,9.2906e-05,0.004128242
0,5,0.004173392,8.1768e-05,0.004091624
0,6,0.00428116,0.000176393,0.004104767
0,7,0.004192649,8.3655e-05,0.004108994
0,8,0.004500106,0.00022459,0.004275516
0,9,0.004279493,8.3841e-05,0.004195652
0,10,0.00440302,0.000150498,0.004252522
0,11,0.004533476,0.000266414,0.004267062
0,12,0.004284828,8.6726e-05,0.004198102
0,13,0.004474807,0.000240932,0.004233875
0,14,0.004469121,0.000159749,0.004309372
0,15,0.004277356,8.6223e-05,0.004191133
0,16,0.004474945,0.000301552,0.004173393
0,17,0.004335902,0.000126629,0.004209273
0,18,0.004390782,0.000208922,0.00418186
0,19,0.004431192,0.000232311,0.004198881
0,20,0.004501032,0.000258648,0.004242384
0,21,0.004420071,0.000118857,0.004301214
0,22,0.004602798,0.000319916,0.004282882
0,23,0.004282716,8.035e-05,0.004202366
0,24,0.004666121,0.000477593,0.004188528
0,25,0.004341375,0.000141945,0.00419943
0,26,0.004585337,0.000368805,0.004216532
0,27,0.004318726,9.4365e-05,0.004224361
0,28,0.004580361,0.000429601,0.00415076
0,29,0.004352389,0.000181041,0.004171348
0,30,0.004601076,0.00042753,0.004173546
0,31,0.004344236,0.000117545,0.004226691
0,32,0.004380304,0.000175048,0.004205256
0,33,0.004313301,0.000109826,0.004203475
0,34,0.004531422,0.000389272,0.00414215
0,35,0.004455352,0.000186599,0.004268753
0,36,0.004246566,0.000103837,0.004142729
0,37,0.004437709,0.00021293,0.004224779
0,38,0.004502929,0.000305816,0.004197113
0,39,0.004357395,0.000176694,0.004180701
0,40,0.004451249,0.000244658,0.004206591
0,41,0.004249956,0.000104265,0.004145691
0,42,0.004659358,0.00051848,0.004140878
0,43,0.004292031,0.000113053,0.004178978
0,44,0.004507554,0.000319373,0.004188181
0,45,0.004373494,0.000149635,0.004223859
0,46,0.004515893,0.00021281,0.004303083
0,47,0.004303194,0.000109463,0.004193731
0,48,0.004409733,0.000187598,0.004222135
0,49,0.004375384,0.000201717,0.004173667
0,50,0.00427012,0.000107883,0.004162237
0,51,0.004651484,0.000340795,0.004310689
0,52,0.004327353,0.000113092,0.004214261
0,53,0.004315783,0.000112612,0.004203171
0,54,0.004633236,0.000416125,0.004217111
0,55,0.004407607,0.000108753,0.004298854
0,56,0.004264941,0.000108788,0.004156153
0,57,0.004425226,0.000174689,0.004250537
0,58,0.004487833,0.0002246,0.004263233
0,59,0.004335239,0.000167888,0.004167351
0,60,0.004393685,0.000147914,0.004245771
0,61,0.004484843,0.000209001,0.004275842
0,62,0.004342149,0.000173905,0.004168244
0,63,0.004362881,0.000151183,0.004211698
0,64,0.004475761,0.00024115,0.004234611
0,65,0.00427761,0.000122686,0.004154924
0,66,0.004443783,0.000291793,0.00415199
0,67,0.004362812,0.000157046,0.004205766
0,68,0.004490539,0.000339385,0.004151154
0,69,0.004394338,0.000212587,0.004181751
0,70,0.004387247,0.000241421,0.004145826
0,71,0.004351662,0.000170458,0.004181204
0,72,0.004458611,0.000292947,0.004165664
0,73,0.00439447,0.000219598,0.004174872
0,74,0.004437712,0.000312219,0.004125493
0,75,0.004317587,0.000172107,0.00414548
0,76,0.004481887,0.000309778,0.004172109
0,77,0.004503891,0.000242963,0.004260928
0,78,0.004386798,0.000218011,0.004168787
0,79,0.004440884,0.000210645,0.004230239
0,80,0.00456441,0.000273468,0.004290942
0,81,0.004323526,0.000106194,0.004217332
0,82,0.004401913,0.000108717,0.004293196
0,83,0.004347838,0.00011797,0.004229868
0,84,0.004517938,0.000171736,0.004346202
0,85,0.004395483,0.000105552,0.004289931
0,86,0.004409798,0.00010227,0.004307528
0,87,0.004388378,8.5785e-05,0.004302593
0,88,0.004412221,9.604e-05,0.004316181
0,89,0.004366691,8.4542e-05,0.004282149
0,90,0.004557317,0.000185368,0.004371949
0,91,0.004357091,8.1421e-05,0.00427567
0,92,0.004461918,0.000158785,0.004303133
0,93,0.004317519,8.072e-05,0.004236799
0,94,0.004461367,0.000171521,0.004289846
0,95,0.004414455,0.000175005,0.00423945
0,96,0.004585535,0.000264146,0.004321389
0,97,0.004304462,6.8495e-05,0.004235967
0,98,0.004393826,0.000158343,0.004235483
0,99,0.004411459,0.000199696,0.004211763
0,100,0.004725147,0.000414887,0.00431026
0,101,0.004334792,8.7288e-05,0.004247504
0,102,0.004453417,0.000161179,0.004292238
0,103,0.004310119,9.5835e-05,0.004214284
0,104,0.004515231,0.000251086,0.004264145
0,105,0.004327873,0.000100749,0.004227124
0,106,0.004458191,0.000208618,0.004249573
0,107,0.004372267,0.000143962,0.004228305
0,108,0.004660465,0.000368798,0.004291667
0,109,0.004340622,8.5845e-05,0.004254777
0,110,0.004534685,0.000320594,0.004214091
1,1,0.618563906,0.493613687,0.124950219
1,2,0.146153033,0.143021577,0.003131456
1,3,0.003823468,0.000119284,0.003704184
1,4,0.004212691,0.000151898,0.004060793
1,5,0.004330273,0.000220804,0.004109469
1,6,0.004126465,0.000132127,0.003994338
1,7,0.004392229,0.00019085,0.004201379
1,8,0.004299587,0.000124454,0.004175133
1,9,0.004397126,0.000163078,0.004234048
1,10,0.004532299,0.000333592,0.004198707
1,11,0.004352773,9.2789e-05,0.004259984
1,12,0.004425675,0.000278374,0.004147301
1,13,0.004426395,0.000178567,0.004247828
1,14,0.004340238,0.000167853,0.004172385
1,15,0.004537338,0.000220589,0.004316749
1,16,0.004304852,0.000177017,0.004127835
1,17,0.004420778,0.000148909,0.004271869
1,18,0.004405736,0.000261406,0.00414433
1,19,0.004457658,0.000209224,0.004248434
1,20,0.004333396,0.00018533,0.004148066
1,21,0.004536352,0.000249238,0.004287114
1,22,0.004289488,0.000173386,0.004116102
1,23,0.004489599,0.000246061,0.004243538
1,24,0.004357578,0.000224661,0.004132917
1,25,0.004597608,0.000344427,0.004253181
1,26,0.004231386,0.000119858,0.004111528
1,27,0.004762725,0.000490357,0.004272368
1,28,0.00419359,0.000112337,0.004081253
1,29,0.004785245,0.000509132,0.004276113
1,30,0.00420371,0.000114523,0.004089187
1,31,0.004654677,0.000423473,0.004231204
1,32,0.004194687,0.000132983,0.004061704
1,33,0.004568218,0.000317412,0.004250806
1,34,0.004227303,0.000138111,0.004089192
1,35,0.004667772,0.000405936,0.004261836
1,36,0.004222509,0.00013689,0.004085619
1,37,0.00445136,0.000187195,0.004264165
1,38,0.004187475,0.000121331,0.004066144
1,39,0.004740934,0.000479514,0.00426142
1,40,0.004174349,0.000113806,0.004060543
1,41,0.004734137,0.000468715,0.004265422
1,42,0.004200605,0.000131984,0.004068621
1,43,0.004609546,0.000362481,0.004247065
1,44,0.004217397,0.000126168,0.004091229
1,45,0.004575825,0.000282374,0.004293451
1,46,0.004191271,0.000133896,0.004057375
1,47,0.00466249,0.000383305,0.004279185
1,48,0.004210869,0.000123039,0.00408783
1,49,0.004538573,0.00031066,0.004227913
1,50,0.004225722,0.000120186,0.004105536
1,51,0.004511024,0.000248003,0.004263021
1,52,0.004287762,0.000247044,0.004040718
1,53,0.004549703,0.00028227,0.004267433
1,54,0.004285696,0.000122407,0.004163289
1,55,0.004694441,0.000408289,0.004286152
1,56,0.004228464,0.00013858,0.004089884
1,57,0.004501274,0.000228434,0.00427284
1,58,0.004202631,0.000114422,0.004088209
1,59,0.004646511,0.000376139,0.004270372
1,60,0.004217399,0.000133988,0.004083411
1,61,0.004556524,0.000291606,0.004264918
1,62,0.004203969,0.00015415,0.004049819
1,63,0.004581657,0.000324528,0.004257129
1,64,0.004217783,0.000108054,0.004109729
1,65,0.00466538,0.000418746,0.004246634
1,66,0.004177456,0.000118451,0.004059005
1,67,0.004542483,0.00034636,0.004196123
1,68,0.004199705,0.000124835,0.00407487
1,69,0.004625457,0.000400716,0.004224741
1,70,0.004243491,0.000177549,0.004065942
1,71,0.004574609,0.000376586,0.004198023
1,72,0.00422385,0.000123492,0.004100358
1,73,0.004523751,0.000266637,0.004257114
1,74,0.0043311,0.000249013,0.004082087
1,75,0.004647561,0.000382153,0.004265408
1,76,0.004227288,0.000123423,0.004103865
1,77,0.004575254,0.000286205,0.004289049
1,78,0.004257888,0.000123436,0.004134452
1,79,0.004581318,0.000293873,0.004287445
1,80,0.004288439,0.000136933,0.004151506
1,81,0.004596744,0.000354068,0.004242676
1,82,0.004290244,0.000134094,0.00415615
1,83,0.004557208,0.000245419,0.004311789
1,84,0.004284665,0.00012378,0.004160885
1,85,0.004568714,0.000214295,0.004354419
1,86,0.004272666,0.000117193,0.004155473
1,87,0.004515447,0.000169218,0.004346229
1,88,0.004290894,0.000108243,0.004182651
1,89,0.004548209,0.000214368,0.004333841
1,90,0.004316706,0.000122544,0.004194162
1,91,0.004615036,0.000220695,0.004394341
1,92,0.004288932,9.9858e-05,0.004189074
1,93,0.004497776,0.00015726,0.004340516
1,94,0.004368658,0.000110478,0.00425818
1,95,0.00445253,0.000114181,0.004338349
1,96,0.0043336,0.000141379,0.004192221
1,97,0.004586442,0.000261004,0.004325438
1,98,0.004328253,0.000132247,0.004196006
1,99,0.004507193,0.000190644,0.004316549
1,100,0.004338843,0.000132707,0.004206136
1,101,0.004725606,0.00035324,0.004372366
1,102,0.004342481,0.000115717,0.004226764
1,103,0.004468893,0.000164722,0.004304171
1,104,0.00438882,0.000196309,0.004192511
1,105,0.004397495,0.000144499,0.004252996
1,106,0.004469177,0.000288369,0.004180808
1,107,0.004541816,0.000179521,0.004362295
1,108,0.004273175,0.000100852,0.004172323
1,109,0.004516977,0.000235911,0.004281066
1,110,0.004374331,0.000134037,0.004240294
2,1,0.619239457,0.493556073,0.125683384
2,2,0.137500953,0.134459997,0.003040956
2,3,0.011881736,0.008142794,0.003738942
2,4,0.004247531,0.000123724,0.004123807
2,5,0.004174141,9.5498e-05,0.004078643
2,6,0.004210356,0.000202584,0.004007772
2,7,0.004416559,0.000323228,0.004093331
2,8,0.004356731,0.00023659,0.004120141
2,9,0.004546985,0.000348241,0.004198744
2,10,0.004295393,0.000164473,0.00413092
2,11,0.004522139,0.000377086,0.004145053
2,12,0.004364222,0.000222524,0.004141698
2,13,0.004408746,0.000281034,0.004127712
2,14,0.004393652,0.000206828,0.004186824
2,15,0.004490312,0.000250047,0.004240265
2,16,0.004249211,0.000136123,0.004113088
2,17,0.0045556,0.000380314,0.004175286
2,18,0.004366841,0.000230069,0.004136772
2,19,0.004445645,0.000270024,0.004175621
2,20,0.00436032,0.000205431,0.004154889
2,21,0.004495868,0.000262881,0.004232987
2,22,0.004239757,0.000110778,0.004128979
2,23,0.00459018,0.000348609,0.004241571
2,24,0.004369036,0.000199494,0.004169542
2,25,0.004461209,0.000283343,0.004177866
2,26,0.004322839,0.000177254,0.004145585
2,27,0.004535653,0.000353468,0.004182185
2,28,0.004310696,0.000187838,0.004122858
2,29,0.004370073,0.000233632,0.004136441
2,30,0.004590521,0.00046838,0.004122141
2,31,0.004326322,0.000134911,0.004191411
2,32,0.004535251,0.000424587,0.004110664
2,33,0.004295553,0.000131058,0.004164495
2,34,0.004491697,0.000347776,0.004143921
2,35,0.004275753,0.000129624,0.004146129
2,36,0.004583095,0.00047289,0.004110205
2,37,0.0043983,0.000237157,0.004161143
2,38,0.004233693,0.000143302,0.004090391
2,39,0.004455338,0.00031945,0.004135888
2,40,0.004510516,0.000401112,0.004109404
2,41,0.004213765,0.000122501,0.004091264
2,42,0.00468518,0.000588397,0.004096783
2,43,0.004286432,0.00013318,0.004153252
2,44,0.004566438,0.000427862,0.004138576
2,45,0.004259754,0.000132968,0.004126786
2,46,0.004476852,0.000388112,0.00408874
2,47,0.004323302,0.000143952,0.00417935
2,48,0.004531894,0.000440427,0.004091467
2,49,0.004327061,0.000192135,0.004134926
2,50,0.004460948,0.000326389,0.004134559
2,51,0.004275371,0.000138897,0.004136474
2,52,0.004455168,0.00033391,0.004121258
2,53,0.00427262,0.000148297,0.004124323
2,54,0.004541286,0.000440607,0.004100679
2,55,0.004334602,0.00024557,0.004089032
2,56,0.004640056,0.000547502,0.004092554
2,57,0.004372541,0.000140318,0.004232223
2,58,0.004362795,0.000243157,0.004119638
2,59,0.004240854,0.000131633,0.004109221
2,60,0.00468848,0.000501777,0.004186703
2,61,0.004272364,0.000116832,0.004155532
2,62,0.004450185,0.000296591,0.004153594
2,63,0.004278476,0.000126113,0.004152363
2,64,0.004484653,0.000355304,0.004129349
2,65,0.004379705,0.000183126,0.004196579
2,66,0.004470411,0.000380376,0.004090035
2,67,0.004260383,0.000136253,0.00412413
2,68,0.004483183,0.000379182,0.004104001
2,69,0.004262389,0.000128944,0.004133445
2,70,0.004591567,0.000441459,0.004150108
2,71,0.004310844,0.000202433,0.004108411
2,72,0.004492403,0.000363606,0.004128797
2,73,0.004245475,0.000130144,0.004115331
2,74,0.004481356,0.000362875,0.004118481
2,75,0.004417126,0.000274195,0.004142931
2,76,0.004624503,0.000449632,0.004174871
2,77,0.004326989,0.000135921,0.004191068
2,78,0.004460084,0.000300144,0.00415994
2,79,0.004262269,0.000109596,0.004152673
2,80,0.004567301,0.000426937,0.004140364
2,81,0.004358042,0.00020956,0.004148482
2,82,0.004568696,0.000382853,0.004185843
2,83,0.00432191,0.000126633,0.004195277
2,84,0.004528889,0.000334367,0.004194522
2,85,0.004319266,0.000107067,0.004212199
2,86,0.004529742,0.000334043,0.004195699
2,87,0.004367466,0.000127816,0.00423965
2,88,0.004408859,0.000216398,0.004192461
2,89,0.004463747,0.000228429,0.004235318
2,90,0.004443726,0.000216672,0.004227054
2,91,0.004452505,0.000187295,0.00426521
2,92,0.004437196,0.000210349,0.004226847
2,93,0.004469943,0.000249859,0.004220084
2,94,0.004392844,0.000159884,0.00423296
2,95,0.004520075,0.00027763,0.004242445
2,96,0.004347768,0.000153541,0.004194227
2,97,0.004562955,0.000370335,0.00419262
2,98,0.004346955,0.000157524,0.004189431
2,99,0.004483617,0.000300438,0.004183179
2,100,0.004504423,0.000326881,0.004177542
2,101,0.004465031,0.000257465,0.004207566
2,102,0.004458224,0.000250968,0.004207256
2,103,0.004439385,0.000232888,0.004206497
2,104,0.004394265,0.000218693,0.004175572
2,105,0.004530701,0.000293692,0.004237009
2,106,0.004365712,0.000183347,0.004182365
2,107,0.004420764,0.000224489,0.004196275
2,108,0.004424712,0.000220442,0.00420427
2,109,0.004433675,0.000232783,0.004200892
2,110,0.004413294,0.000235187,0.004178107
3,1,0.619080782,0.493397476,0.125683306
3,2,0.140089988,0.137004731,0.003085257
3,3,0.003135746,6.1951e-05,0.003073795
3,4,0.010512582,0.006489767,0.004022815
3,5,0.004376055,0.00026742,0.004108635
3,6,0.004307373,0.000288093,0.00401928
3,7,0.004342002,0.000272625,0.004069377
3,8,0.004465271,0.000284461,0.00418081
3,9,0.004357375,0.000169988,0.004187387
3,10,0.004436173,0.000313699,0.004122474
3,11,0.004438834,0.000233386,0.004205448
3,12,0.004422205,0.000244995,0.00417721
3,13,0.004346233,0.000225117,0.004121116
3,14,0.004431292,0.000292667,0.004138625
3,15,0.004388881,0.000243388,0.004145493
3,16,0.004455171,0.000327008,0.004128163
3,17,0.004427733,0.00024137,0.004186363
3,18,0.004410317,0.000269317,0.004141
3,19,0.004378008,0.000216806,0.004161202
3,20,0.004359265,0.000220545,0.00413872
3,21,0.004389299,0.000198862,0.004190437
3,22,0.004483192,0.000354239,0.004128953
3,23,0.004459561,0.000251504,0.004208057
3,24,0.004451924,0.000290998,0.004160926
3,25,0.004364538,0.000231662,0.004132876
3,26,0.00441033,0.000318904,0.004091426
3,27,0.004455339,0.000268467,0.004186872
3,28,0.00435097,0.000246168,0.004104802
3,29,0.0043906,0.000244583,0.004146017
3,30,0.004426539,0.000320668,0.004105871
3,31,0.004412331,0.000244717,0.004167614
3,32,0.004324215,0.000259239,0.004064976
3,33,0.004386952,0.000278979,0.004107973
3,34,0.004433327,0.000338388,0.004094939
3,35,0.004377164,0.00025926,0.004117904
3,36,0.004422946,0.000351171,0.004071775
3,37,0.004452665,0.000344393,0.004108272
3,38,0.004496661,0.000387895,0.004108766
3,39,0.004391722,0.000258157,0.004133565
3,40,0.004332231,0.000281856,0.004050375
3,41,0.004396832,0.000284806,0.004112026
3,42,0.00441919,0.000306533,0.004112657
3,43,0.00438818,0.000235013,0.004153167
3,44,0.004394337,0.000290781,0.004103556
3,45,0.004455519,0.000295704,0.004159815
3,46,0.004378178,0.000281253,0.004096925
3,47,0.004404273,0.000250385,0.004153888
3,48,0.00442159,0.000278452,0.004143138
3,49,0.004358956,0.000241959,0.004116997
3,50,0.004502986,0.000360047,0.004142939
3,51,0.004424669,0.000251388,0.004173281
3,52,0.004351461,0.000248806,0.004102655
3,53,0.004421521,0.000301774,0.004119747
3,54,0.004403541,0.000312629,0.004090912
3,55,0.004396967,0.000269246,0.004127721
3,56,0.004447926,0.000297649,0.004150277
3,57,0.004456576,0.000255441,0.004201135
3,58,0.004430626,0.000351001,0.004079625
3,59,0.004451447,0.000274541,0.004176906
3,60,0.00434371,0.000254712,0.004088998
3,61,0.004427647,0.000303432,0.004124215
3,62,0.004410671,0.000326069,0.004084602
3,63,0.00443999,0.000282676,0.004157314
3,64,0.00444141,0.000284848,0.004156562
3,65,0.00429948,0.000192364,0.004107116
3,66,0.004441673,0.000323126,0.004118547
3,67,0.00431029,0.000214014,0.004096276
3,68,0.004411722,0.000292168,0.004119554
3,69,0.004459598,0.000289096,0.004170502
3,70,0.004370161,0.000296403,0.004073758
3,71,0.004373649,0.000271756,0.004101893
3,72,0.004392642,0.000290618,0.004102024
3,73,0.004471843,0.000317716,0.004154127
3,74,0.004432742,0.000326945,0.004105797
3,75,0.004366651,0.000235177,0.004131474
3,76,0.004428223,0.000262096,0.004166127
3,77,0.004439398,0.000227787,0.004211611
3,78,0.00438965,0.000242823,0.004146827
3,79,0.004422499,0.000233668,0.004188831
3,80,0.004391261,0.000247637,0.004143624
3,81,0.004470077,0.000268179,0.004201898
3,82,0.004469484,0.000291129,0.004178355
3,83,0.004480252,0.000265263,0.004214989
3,84,0.004431059,0.000233709,0.00419735
3,85,0.004366732,0.000185391,0.004181341
3,86,0.004519887,0.000347678,0.004172209
3,87,0.004528913,0.00026224,0.004266673
3,88,0.004391908,0.000214855,0.004177053
3,89,0.004487742,0.000224163,0.004263579
3,90,0.004398171,0.000221077,0.004177094
3,91,0.004490032,0.000229428,0.004260604
3,92,0.004433213,0.000245132,0.004188081
3,93,0.004451691,0.000226196,0.004225495
3,94,0.004467935,0.000263779,0.004204156
3,95,0.004449068,0.000214105,0.004234963
3,96,0.00455043,0.000308984,0.004241446
3,97,0.004363392,0.000154164,0.004209228
3,98,0.004484222,0.000279389,0.004204833
3,99,0.004515429,0.000271887,0.004243542
