#/home1/08302/tg876011/charm-mpi-compare/stencil/stencil-mpi.py 100 24576 24576 strong_scaling_results
Process,Iteration,Iteration Time,Communication Time,Computation Time
0,1,0.515730508,0.316008548,0.19972196
0,2,0.216980989,0.12899301,0.087987979
0,3,0.207719701,0.116115556,0.091604145
0,4,0.094376612,0.003080647,0.091295965
0,5,0.09781575,0.00637703,0.09143872
0,6,0.091903366,0.000412131,0.091491235
0,7,0.091502582,0.000470936,0.091031646
0,8,0.092107486,0.000934353,0.091173133
0,9,0.09327173,0.000515107,0.092756623
0,10,0.093031739,0.001958898,0.091072841
0,11,0.091471238,0.000614818,0.09085642
0,12,0.092388579,0.000937647,0.091450932
0,13,0.092045122,0.00079143,0.091253692
0,14,0.090897213,0.001050251,0.089846962
0,15,0.094375546,0.001015989,0.093359557
0,16,0.095426646,0.002427536,0.09299911
0,17,0.093854005,0.000665352,0.093188653
0,18,0.093766778,0.000447543,0.093319235
0,19,0.095270002,0.000244795,0.095025207
0,20,0.094342942,0.000747063,0.093595879
0,21,0.093451297,0.000352997,0.0930983
0,22,0.093693036,0.000664346,0.09302869
0,23,0.09412465,0.000659968,0.093464682
0,24,0.094288438,0.000486812,0.093801626
0,25,0.093657418,0.00058338,0.093074038
0,26,0.093707026,0.000731422,0.092975604
0,27,0.093893659,0.000859071,0.093034588
0,28,0.094558397,0.000631981,0.093926416
0,29,0.094063945,0.00041675,0.093647195
0,30,0.093928188,0.000658693,0.093269495
0,31,0.093276195,0.00035141,0.092924785
0,32,0.093768856,0.000545698,0.093223158
0,33,0.0934998,0.000445598,0.093054202
0,34,0.094070321,0.000792345,0.093277976
0,35,0.093970531,0.000427156,0.093543375
0,36,0.093539773,0.000493847,0.093045926
0,37,0.093835839,0.000657069,0.09317877
0,38,0.093687386,0.000563635,0.093123751
0,39,0.093922644,0.000895234,0.09302741
0,40,0.09429686,0.00092275,0.09337411
0,41,0.093461005,0.000583001,0.092878004
0,42,0.093850085,0.000992014,0.092858071
0,43,0.094013459,0.00106809,0.092945369
0,44,0.095908509,0.001460348,0.094448161
0,45,0.095424265,0.001420659,0.094003606
0,46,0.093758746,0.000657057,0.093101689
0,47,0.094213423,0.001006909,0.093206514
0,48,0.093879325,0.000458892,0.093420433
0,49,0.093378302,0.00031543,0.093062872
0,50,0.094405474,0.000874921,0.093530553
0,51,0.093720359,0.000406714,0.093313645
0,52,0.09380675,0.00064084,0.09316591
0,53,0.093590237,0.000717795,0.092872442
0,54,0.094138721,0.000877643,0.093261078
0,55,0.093681474,0.000464088,0.093217386
0,56,0.094274215,0.000773122,0.093501093
0,57,0.09370928,0.000681305,0.093027975
0,58,0.093834199,0.0007915,0.093042699
0,59,0.094990756,0.001528751,0.093462005
0,60,0.095156109,0.000517037,0.094639072
0,61,0.093932358,0.000653874,0.093278484
0,62,0.093786939,0.000616546,0.093170393
0,63,0.093844656,0.000580126,0.09326453
0,64,0.093886737,0.000843634,0.093043103
0,65,0.094210298,0.000901798,0.0933085
0,66,0.094504321,0.001019807,0.093484514
0,67,0.093373226,0.000310033,0.093063193
0,68,0.094235444,0.000995388,0.093240056
0,69,0.093778206,0.000626156,0.09315205
0,70,0.094214969,0.000810259,0.09340471
0,71,0.093811097,0.000577484,0.093233613
0,72,0.094241442,0.000897807,0.093343635
0,73,0.093832126,0.000793819,0.093038307
0,74,0.094034985,0.000966442,0.093068543
0,75,0.093894894,0.000838466,0.093056428
0,76,0.094238349,0.000622827,0.093615522
0,77,0.093973295,0.00038547,0.093587825
0,78,0.093769565,0.000595288,0.093174277
0,79,0.093577056,0.000545865,0.093031191
0,80,0.093915888,0.000823227,0.093092661
0,81,0.093715559,0.000604874,0.093110685
0,82,0.093813238,0.000746777,0.093066461
0,83,0.094916771,0.00188305,0.093033721
0,84,0.094411608,0.001320184,0.093091424
0,85,0.09474902,0.000316249,0.094432771
0,86,0.0953457,0.001239565,0.094106135
0,87,0.093953567,0.000808629,0.093144938
0,88,0.094315433,0.000914808,0.093400625
0,89,0.093839184,0.000682481,0.093156703
0,90,0.09389077,0.000726982,0.093163788
0,91,0.093352163,0.000429466,0.092922697
0,92,0.094055552,0.000847786,0.093207766
0,93,0.093671962,0.000746321,0.092925641
0,94,0.093960699,0.00085028,0.093110419
0,95,0.093724059,0.000712672,0.093011387
0,96,0.094080182,0.000986307,0.093093875
0,97,0.094448062,0.000795675,0.093652387
0,98,0.094014015,0.000659804,0.093354211
0,99,0.093748699,0.000663228,0.093085471
0,100,0.094495601,0.000955083,0.093540518
0,101,0.09356964,0.000492728,0.093076912
0,102,0.093900381,0.000642033,0.093258348
0,103,0.093965187,0.000806037,0.09315915
0,104,0.094250489,0.000709582,0.093540907
0,105,0.093661653,0.000448942,0.093212711
0,106,0.093686529,0.000573229,0.0931133
0,107,0.094229249,0.000576963,0.093652286
0,108,0.094134977,0.000831324,0.093303653
0,109,0.094166168,0.000714255,0.093451913
0,110,0.094795449,0.000599874,0.094195575
1,1,0.644487733,0.447459898,0.197027835
1,2,0.203896713,0.114999559,0.088897154
1,3,0.094865163,0.002383422,0.092481741
1,4,0.097694642,0.006212492,0.09148215
1,5,0.09147639,0.000332937,0.091143453
1,6,0.092352551,0.001262353,0.091090198
1,7,0.091929701,0.000968092,0.090961609
1,8,0.091742014,0.000823485,0.090918529
1,9,0.094566239,0.001831249,0.09273499
1,10,0.091764728,0.000580413,0.091184315
1,11,0.091511678,0.000390255,0.091121423
1,12,0.091533097,0.000380498,0.091152599
1,13,0.09202489,0.000666595,0.091358295
1,14,0.091009797,0.000953758,0.090056039
1,15,0.093967657,0.000560774,0.093406883
1,16,0.095360702,0.002196502,0.0931642
1,17,0.094017304,0.001075891,0.092941413
1,18,0.093792988,0.000892859,0.092900129
1,19,0.096383451,0.001446437,0.094937014
1,20,0.093914978,0.00042606,0.093488918
1,21,0.093590995,0.000404946,0.093186049
1,22,0.093551024,0.000406902,0.093144122
1,23,0.093471219,0.000423076,0.093048143
1,24,0.094481278,0.000863918,0.09361736
1,25,0.093582259,0.000715301,0.092866958
1,26,0.093688963,0.000726819,0.092962144
1,27,0.093841707,0.000827767,0.09301394
1,28,0.094345238,0.000753052,0.093592186
1,29,0.095180986,0.001343745,0.093837241
1,30,0.093260571,0.000342597,0.092917974
1,31,0.093864249,0.000917342,0.092946907
1,32,0.09374798,0.000714906,0.093033074
1,33,0.093759727,0.000836642,0.092923085
1,34,0.093673474,0.000757144,0.09291633
1,35,0.094129225,0.00077047,0.093358755
1,36,0.09364348,0.000640592,0.093002888
1,37,0.093838443,0.00079139,0.093047053
1,38,0.094006744,0.000895847,0.093110897
1,39,0.093972396,0.000755397,0.093216999
1,40,0.093925581,0.000634269,0.093291312
1,41,0.093779027,0.000677873,0.093101154
1,42,0.093954773,0.000793156,0.093161617
1,43,0.094526597,0.001664601,0.092861996
1,44,0.095828294,0.00179396,0.094034334
1,45,0.094691115,0.000937769,0.093753346
1,46,0.094038737,0.001181971,0.092856766
1,47,0.093702324,0.000659718,0.093042606
1,48,0.09364703,0.000572994,0.093074036
1,49,0.093991736,0.000923203,0.093068533
1,50,0.093893454,0.000545955,0.093347499
1,51,0.09403537,0.000855455,0.093179915
1,52,0.093797937,0.000767415,0.093030522
1,53,0.093834232,0.000917445,0.092916787
1,54,0.093726389,0.000708096,0.093018293
1,55,0.093949436,0.000915737,0.093033699
1,56,0.094120563,0.000781441,0.093339122
1,57,0.09392919,0.000919687,0.093009503
1,58,0.094588227,0.001350653,0.093237574
1,59,0.093976202,0.000496669,0.093479533
1,60,0.095215184,0.0007128,0.094502384
1,61,0.093943565,0.000620726,0.093322839
1,62,0.093764802,0.00037429,0.093390512
1,63,0.094108489,0.000936613,0.093171876
1,64,0.093977868,0.0009346,0.093043268
1,65,0.094271871,0.001192004,0.093079867
1,66,0.093802327,0.000520252,0.093282075
1,67,0.094023263,0.000971103,0.09305216
1,68,0.093882525,0.000832679,0.093049846
1,69,0.09399988,0.000947706,0.093052174
1,70,0.093836074,0.000778682,0.093057392
1,71,0.094256153,0.000923362,0.093332791
1,72,0.094140129,0.000841404,0.093298725
1,73,0.093986468,0.000885093,0.093101375
1,74,0.093919926,0.000779598,0.093140328
1,75,0.093484136,0.000540333,0.092943803
1,76,0.094110761,0.00080333,0.093307431
1,77,0.094086959,0.000540068,0.093546891
1,78,0.093898519,0.000753457,0.093145062
1,79,0.093794527,0.000691309,0.093103218
1,80,0.093795586,0.000727884,0.093067702
1,81,0.093707439,0.00067341,0.093034029
1,82,0.095141195,0.002108342,0.093032853
1,83,0.094322975,0.001281633,0.093041342
1,84,0.093427717,0.000407316,0.093020401
1,85,0.095632436,0.001172851,0.094459585
1,86,0.094970016,0.001046577,0.093923439
1,87,0.093933772,0.000936888,0.092996884
1,88,0.094049675,0.000707202,0.093342473
1,89,0.093930765,0.000829349,0.093101416
1,90,0.093617698,0.000582504,0.093035194
1,91,0.093831311,0.00094745,0.092883861
1,92,0.093952228,0.000787736,0.093164492
1,93,0.093779583,0.000876747,0.092902836
1,94,0.093752501,0.000678593,0.093073908
1,95,0.094086186,0.001051403,0.093034783
1,96,0.093793667,0.000777753,0.093015914
1,97,0.094187601,0.000816742,0.093370859
1,98,0.09417263,0.000793217,0.093379413
1,99,0.093959695,0.000855412,0.093104283
1,100,0.094130652,0.000751903,0.093378749
1,101,0.093742248,0.000730093,0.093012155
1,102,0.093902789,0.000888075,0.093014714
1,103,0.093857787,0.000930958,0.092926829
1,104,0.094158598,0.000760087,0.093398511
1,105,0.093720069,0.000775413,0.092944656
1,106,0.093617288,0.000552969,0.093064319
1,107,0.094293723,0.000873604,0.093420119
1,108,0.094326398,0.000987082,0.093339316
1,109,0.094081088,0.000631972,0.093449116
1,110,0.094731621,0.000618595,0.094113026
2,1,0.632316097,0.433609139,0.198706958
2,2,0.218243858,0.128052214,0.090191644
2,3,0.098709159,0.007263648,0.091445511
2,4,0.091719098,0.000546964,0.091172134
2,5,0.092543995,0.001314778,0.091229217
2,6,0.092036791,0.000776973,0.091259818
2,7,0.091785105,0.000743604,0.091041501
2,8,0.092664748,0.00070935,0.091955398
2,9,0.092602166,0.000803424,0.091798742
2,10,0.092061187,0.000978805,0.091082382
2,11,0.091683024,0.000660572,0.091022452
2,12,0.091940808,0.000668747,0.091272061
2,13,0.091781823,0.000580957,0.091200866
2,14,0.09085792,0.000802969,0.090054951
2,15,0.09403121,0.000540688,0.093490522
2,16,0.094596,0.001382377,0.093213623
2,17,0.094027409,0.000857263,0.093170146
2,18,0.095616225,0.001405203,0.094211022
2,19,0.094502327,0.000797866,0.093704461
2,20,0.093756774,0.000929372,0.092827402
2,21,0.094119602,0.001034887,0.093084715
2,22,0.093451514,0.000516367,0.092935147
2,23,0.09433812,0.000654877,0.093683243
2,24,0.094213194,0.000419894,0.0937933
2,25,0.093775925,0.000577113,0.093198812
2,26,0.093485088,0.00043388,0.093051208
2,27,0.093861425,0.000634269,0.093227156
2,28,0.09519432,0.001174065,0.094020255
2,29,0.09390303,0.000456549,0.093446481
2,30,0.094179446,0.001018545,0.093160901
2,31,0.093687014,0.000528232,0.093158782
2,32,0.093796392,0.000624245,0.093172147
2,33,0.093581085,0.000644497,0.092936588
2,34,0.093664845,0.000729391,0.092935454
2,35,0.094116891,0.000685737,0.093431154
2,36,0.093858731,0.000804235,0.093054496
2,37,0.093932675,0.000789166,0.093143509
2,38,0.093786284,0.000654072,0.093132212
2,39,0.09391376,0.000698629,0.093215131
2,40,0.093990647,0.00072502,0.093265627
2,41,0.093735231,0.00069926,0.093035971
2,42,0.095013651,0.001822608,0.093191043
2,43,0.094619015,0.001683063,0.092935952
2,44,0.094943335,0.000356139,0.094587196
2,45,0.094959588,0.000691556,0.094268032
2,46,0.093502175,0.000378176,0.093123999
2,47,0.09360765,0.000419143,0.093188507
2,48,0.094009313,0.000760025,0.093249288
2,49,0.093579719,0.000451402,0.093128317
2,50,0.094255547,0.000872966,0.093382581
2,51,0.093939724,0.000685441,0.093254283
2,52,0.093938263,0.000803103,0.09313516
2,53,0.093633002,0.000739341,0.092893661
2,54,0.093928995,0.000758269,0.093170726
2,55,0.093836233,0.000729943,0.09310629
2,56,0.094253873,0.000792225,0.093461648
2,57,0.094350978,0.001310667,0.093040311
2,58,0.093709134,0.000738055,0.092971079
2,59,0.094172073,0.000613977,0.093558096
2,60,0.095133115,0.000419553,0.094713562
2,61,0.093746362,0.000608829,0.093137533
2,62,0.094329294,0.00100639,0.093322904
2,63,0.094093412,0.000792116,0.093301296
2,64,0.094215728,0.000991648,0.09322408
2,65,0.093603107,0.000369427,0.09323368
2,66,0.094275488,0.000779934,0.093495554
2,67,0.093732554,0.000642414,0.09309014
2,68,0.094128247,0.000851985,0.093276262
2,69,0.093820326,0.000743073,0.093077253
2,70,0.093990372,0.000751083,0.093239289
2,71,0.094171743,0.00076785,0.093403893
2,72,0.094152291,0.000592228,0.093560063
2,73,0.093907393,0.000432935,0.093474458
2,74,0.093666053,0.00038409,0.093281963
2,75,0.093744881,0.00051587,0.093229011
2,76,0.093862382,0.000506385,0.093355997
2,77,0.094313528,0.000649349,0.093664179
2,78,0.093827095,0.000529643,0.093297452
2,79,0.093819493,0.000513064,0.093306429
2,80,0.093731404,0.000493015,0.093238389
2,81,0.095215909,0.002142983,0.093072926
2,82,0.094294272,0.001199191,0.093095081
2,83,0.093474645,0.000372541,0.093102104
2,84,0.093936629,0.000880662,0.093055967
2,85,0.095678096,0.000877865,0.094800231
2,86,0.094902676,0.000999705,0.093902971
2,87,0.093696712,0.00051106,0.093185652
2,88,0.094168958,0.000669128,0.09349983
2,89,0.093668616,0.000512666,0.09315595
2,90,0.093993463,0.000678341,0.093315122
2,91,0.093672336,0.000697566,0.09297477
2,92,0.094042587,0.000820108,0.093222479
2,93,0.093553772,0.00060148,0.092952292
2,94,0.0941497,0.000784943,0.093364757
2,95,0.093648011,0.000544005,0.093104006
2,96,0.093988914,0.000711955,0.093276959
2,97,0.094173293,0.000630467,0.093542826
2,98,0.094212632,0.000816976,0.093395656
2,99,0.093859864,0.000668744,0.09319112
2,100,0.094104836,0.000709048,0.093395788
2,101,0.093875435,0.000741429,0.093134006
2,102,0.093909037,0.000757807,0.09315123
2,103,0.093784472,0.000616161,0.093168311
2,104,0.094161817,0.00068634,0.093475477
2,105,0.09347602,0.000339601,0.093136419
2,106,0.093938563,0.000771007,0.093167556
2,107,0.094402773,0.000623423,0.09377935
2,108,0.093968416,0.000392666,0.09357575
2,109,0.094076831,0.000397029,0.093679802
2,110,0.094987483,0.000462786,0.094524697
3,1,0.643403906,0.446428764,0.196975142
3,2,0.213769944,0.12368425,0.090085694
3,3,0.092168618,0.001025724,0.091142894
3,4,0.092619198,0.001394347,0.091224851
3,5,0.092042162,0.000650804,0.091391358
3,6,0.091543089,0.000494871,0.091048218
3,7,0.091705705,0.00078722,0.090918485
3,8,0.093057777,0.000869701,0.092188076
3,9,0.091609712,0.000558663,0.091051049
3,10,0.092640147,0.001649908,0.090990239
3,11,0.091841479,0.000944412,0.090897067
3,12,0.091818085,0.000762263,0.091055822
3,13,0.092046284,0.000895835,0.091150449
3,14,0.090626312,0.000731764,0.089894548
3,15,0.094323875,0.000933385,0.09339049
3,16,0.094624139,0.001604597,0.093019542
3,17,0.094867855,0.000696198,0.094171657
3,18,0.095061632,0.000509192,0.09455244
3,19,0.093013014,0.000352496,0.092660518
3,20,0.094390225,0.0016592,0.092731025
3,21,0.093976689,0.000891294,0.093085395
