#/home1/08302/tg876011/charm-mpi-compare/stencil/stencil-charm.py 6 100 24576 24576 strong_scaling_results +no_isomalloc_sync
Process,Num processes,Iteration,Iteration Time,Communication Time,Computation Time
0,6,1,0.699275116,0.245079356,0.45419576
0,6,2,0.436510897,0.104860453,0.331650444
0,6,3,0.331480936,0.003019603,0.328461333
0,6,4,0.328097065,0.000630898,0.327466167
0,6,5,0.33147894,0.000621965,0.330856975
0,6,6,0.329918353,0.000623986,0.329294367
0,6,7,0.328264599,0.000603438,0.327661161
0,6,8,0.328731296,0.000823703,0.327907593
0,6,9,0.329986411,0.000594019,0.329392392
0,6,10,0.327930751,0.000830627,0.327100124
0,6,11,0.32870362,0.000618007,0.328085613
0,6,12,0.328079105,0.000603323,0.327475782
0,6,13,0.328259586,0.000600714,0.327658872
0,6,14,0.328512707,0.000611421,0.327901286
0,6,15,0.327205556,0.000594997,0.326610559
0,6,16,0.329977981,0.000609004,0.329368977
0,6,17,0.329687121,0.000612792,0.329074329
0,6,18,0.326238609,0.000597807,0.325640802
0,6,19,0.329345207,0.000598754,0.328746453
0,6,20,0.329180834,0.000836747,0.328344087
0,6,21,0.327449565,0.000605251,0.326844314
0,6,22,0.328032833,0.000595569,0.327437264
0,6,23,0.329642835,0.000833063,0.328809772
0,6,24,0.327646923,0.000606571,0.327040352
0,6,25,0.328517595,0.000606794,0.327910801
0,6,26,0.328607637,0.000598036,0.328009601
0,6,27,0.326832685,0.000604075,0.32622861
0,6,28,0.32953287,0.000607641,0.328925229
0,6,29,0.32876885,0.000606346,0.328162504
0,6,30,0.326514837,0.000603281,0.325911556
0,6,31,0.329822468,0.00060433,0.329218138
0,6,32,0.328924226,0.000602753,0.328321473
0,6,33,0.327433829,0.000607486,0.326826343
0,6,34,0.327040968,0.000604932,0.326436036
0,6,35,0.329525392,0.000606137,0.328919255
0,6,36,0.328064337,0.000604166,0.327460171
0,6,37,0.326258894,0.000599898,0.325658996
0,6,38,0.328334357,0.000604006,0.327730351
0,6,39,0.326131045,0.000605341,0.325525704
0,6,40,0.331706335,0.000849646,0.330856689
0,6,41,0.331155257,0.000625815,0.330529442
0,6,42,0.333088496,0.002423254,0.330665242
0,6,43,0.332338347,0.001182239,0.331156108
0,6,44,0.333036094,0.000859856,0.332176238
0,6,45,0.330857132,0.000602079,0.330255053
0,6,46,0.330859505,0.000606883,0.330252622
0,6,47,0.330919435,0.000587752,0.330331683
0,6,48,0.332328344,0.000595408,0.331732936
0,6,49,0.330673054,0.000602134,0.33007092
0,6,50,0.330847918,0.000585622,0.330262296
0,6,51,0.330561443,0.000589545,0.329971898
0,6,52,0.332107825,0.000594701,0.331513124
0,6,53,0.331066788,0.000588157,0.330478631
0,6,54,0.330824263,0.000590627,0.330233636
0,6,55,0.330806376,0.00058945,0.330216926
0,6,56,0.330581607,0.000588637,0.32999297
0,6,57,0.332386591,0.000587396,0.331799195
0,6,58,0.330883956,0.000587541,0.330296415
0,6,59,0.330651608,0.000597032,0.330054576
0,6,60,0.330895432,0.000597076,0.330298356
0,6,61,0.331569097,0.000613354,0.330955743
0,6,62,0.331337202,0.000632924,0.330704278
0,6,63,0.330963747,0.000609542,0.330354205
0,6,64,0.330666135,0.000609829,0.330056306
