#/home1/08302/tg876011/charm-mpi-compare/stencil/stencil-mpi.py 100 24576 24576 strong_scaling_results
Process,Iteration,Iteration Time,Communication Time,Computation Time
0,1,0.506096253,0.312560763,0.19353549
0,2,0.20699645,0.120272318,0.086724132
0,3,0.20456984,0.113690319,0.090879521
0,4,0.107005081,0.017076387,0.089928694
0,5,0.094111608,0.003704581,0.090407027
0,6,0.092678206,0.002908632,0.089769574
0,7,0.091068286,0.001583513,0.089484773
0,8,0.092902614,0.001921589,0.090981025
0,9,0.095173881,0.002608367,0.092565514
0,10,0.091840379,0.001532111,0.090308268
0,11,0.090521545,0.000604071,0.089917474
0,12,0.094530549,0.001389417,0.093141132
0,13,0.095731484,0.002037912,0.093693572
0,14,0.093962192,0.000734559,0.093227633
0,15,0.09451282,0.001180495,0.093332325
0,16,0.094569252,0.00076588,0.093803372
0,17,0.093671554,0.000392485,0.093279069
0,18,0.093692231,0.000582318,0.093109913
0,19,0.095124407,0.000373907,0.0947505
0,20,0.095241629,0.001393592,0.093848037
0,21,0.093688359,0.000501011,0.093187348
0,22,0.093995604,0.000777351,0.093218253
0,23,0.094375766,0.001294847,0.093080919
0,24,0.094217587,0.000665325,0.093552262
0,25,0.094035295,0.000758267,0.093277028
0,26,0.094014768,0.000607088,0.09340768
0,27,0.094056245,0.000674276,0.093381969
0,28,0.094126283,0.000411931,0.093714352
0,29,0.094613316,0.000526938,0.094086378
0,30,0.096113199,0.002656854,0.093456345
0,31,0.094219824,0.000680077,0.093539747
0,32,0.094038337,0.000536544,0.093501793
0,33,0.093881264,0.00046643,0.093414834
0,34,0.093893135,0.000489875,0.09340326
0,35,0.094326846,0.000628895,0.093697951
0,36,0.093923903,0.000440784,0.093483119
0,37,0.09413541,0.000389243,0.093746167
0,38,0.094274692,0.000400401,0.093874291
0,39,0.093944842,0.000432076,0.093512766
0,40,0.093846763,0.000378509,0.093468254
0,41,0.093834194,0.000481279,0.093352915
0,42,0.093954867,0.00049792,0.093456947
0,43,0.0934585,0.000304093,0.093154407
0,44,0.094444634,0.000318176,0.094126458
0,45,0.095839104,0.001866785,0.093972319
0,46,0.095208594,0.001980111,0.093228483
0,47,0.094025274,0.000618223,0.093407051
0,48,0.094071466,0.000576612,0.093494854
0,49,0.094100408,0.000560417,0.093539991
0,50,0.093907475,0.000637562,0.093269913
0,51,0.093942661,0.000591213,0.093351448
0,52,0.093879915,0.000546826,0.093333089
0,53,0.093713003,0.000524614,0.093188389
