#/home1/08302/tg876011/charm-mpi-compare/stencil/stencil-mpi.py 100 24576 24576 strong_scaling_results
Process,Iteration,Iteration Time,Communication Time,Computation Time
0,1,0.487216733,0.360973169,0.126243564
0,2,0.147471512,0.144439338,0.003032174
0,3,0.2073365,0.20428929,0.00304721
0,4,0.003211249,0.000186617,0.003024632
0,5,0.080987253,0.077971354,0.003015899
0,6,0.003397117,0.00037697,0.003020147
0,7,0.003217618,0.000204037,0.003013581
0,8,0.028911092,0.025894466,0.003016626
0,9,0.003624553,0.000615866,0.003008687
0,10,0.003262971,0.000261805,0.003001166
0,11,0.003180346,0.000188885,0.002991461
0,12,0.005824426,0.002808503,0.003015923
0,13,0.006569737,0.003563102,0.003006635
0,14,0.017341941,0.014105291,0.00323665
0,15,0.004089711,0.000882698,0.003207013
0,16,0.006974069,0.003697472,0.003276597
0,17,0.007601217,0.004429423,0.003171794
0,18,0.007987154,0.004681331,0.003305823
0,19,0.006504198,0.003223074,0.003281124
0,20,0.006963322,0.003547743,0.003415579
0,21,0.007126406,0.003746148,0.003380258
0,22,0.007363121,0.003885219,0.003477902
0,23,0.007667836,0.004115849,0.003551987
0,24,0.007132098,0.003616222,0.003515876
0,25,0.006493067,0.002997023,0.003496044
0,26,0.006528663,0.003112209,0.003416454
0,27,0.006660313,0.003250066,0.003410247
0,28,0.00735321,0.003950365,0.003402845
0,29,0.006831916,0.003399386,0.00343253
0,30,0.004335351,0.000929867,0.003405484
0,31,0.004136382,0.000751532,0.00338485
0,32,0.004410544,0.001091429,0.003319115
0,33,0.004275656,0.000903823,0.003371833
0,34,0.004077577,0.000741221,0.003336356
0,35,0.004482877,0.001100372,0.003382505
0,36,0.004326277,0.000918935,0.003407342
0,37,0.004269312,0.000820532,0.00344878
0,38,0.004126512,0.00063347,0.003493042
0,39,0.004046564,0.000632889,0.003413675
0,40,0.004079812,0.000632989,0.003446823
0,41,0.004078591,0.000612286,0.003466305
0,42,0.003697335,0.000290751,0.003406584
0,43,0.003763629,0.000331998,0.003431631
0,44,0.003555766,0.000162333,0.003393433
0,45,0.003605113,0.000218287,0.003386826
0,46,0.003518799,0.000198723,0.003320076
0,47,0.003523346,0.000191091,0.003332255
0,48,0.003451132,0.000134798,0.003316334
0,49,0.003329121,0.000105506,0.003223615
0,50,0.003308617,7.6303e-05,0.003232314
0,51,0.00326009,0.000100143,0.003159947
0,52,0.006621993,0.003502406,0.003119587
0,53,0.004197108,0.001072091,0.003125017
0,54,0.005774196,0.002628765,0.003145431
0,55,0.004009556,0.000889067,0.003120489
0,56,0.003878103,0.000746195,0.003131908
0,57,0.003380587,0.000335723,0.003044864
0,58,0.00524671,0.002150444,0.003096266
0,59,0.005906936,0.002839219,0.003067717
0,60,0.005813905,0.002764622,0.003049283
0,61,0.006247872,0.003139447,0.003108425
0,62,0.006637318,0.003558175,0.003079143
0,63,0.006448349,0.003399881,0.003048468
0,64,0.006576486,0.003514393,0.003062093
0,65,0.006465828,0.003414788,0.00305104
0,66,0.00662341,0.003576717,0.003046693
0,67,0.006678131,0.003625435,0.003052696
0,68,0.006706933,0.003643524,0.003063409
0,69,0.006697241,0.003638303,0.003058938
0,70,0.006713399,0.003660109,0.00305329
0,71,0.006700845,0.003673275,0.00302757
0,72,0.006796559,0.003723143,0.003073416
0,73,0.007829754,0.004759336,0.003070418
0,74,0.006457613,0.003407414,0.003050199
0,75,0.006642079,0.003567032,0.003075047
0,76,0.006800081,0.003764637,0.003035444
0,77,0.006558079,0.003530198,0.003027881
0,78,0.006840683,0.003773531,0.003067152
0,79,0.007154106,0.00412014,0.003033966
0,80,0.007237875,0.00416714,0.003070735
0,81,0.00708917,0.004052081,0.003037089
0,82,0.00741005,0.004150099,0.003259951
0,83,0.007373323,0.003997396,0.003375927
0,84,0.007404348,0.004022483,0.003381865
0,85,0.007208374,0.003836394,0.00337198
0,86,0.007381234,0.003989106,0.003392128
0,87,0.006910256,0.003511501,0.003398755
0,88,0.007020351,0.003625002,0.003395349
0,89,0.008037357,0.004647012,0.003390345
0,90,0.005894942,0.002499166,0.003395776
0,91,0.006539018,0.003176546,0.003362472
0,92,0.006746647,0.00336311,0.003383537
0,93,0.006574476,0.003209183,0.003365293
0,94,0.006726681,0.003364587,0.003362094
0,95,0.006686903,0.003339141,0.003347762
0,96,0.006691196,0.003301097,0.003390099
0,97,0.009555845,0.006171246,0.003384599
0,98,0.006440316,0.003062038,0.003378278
0,99,0.005172392,0.001805355,0.003367037
0,100,0.006193448,0.002890431,0.003303017
0,101,0.008117458,0.00474369,0.003373768
0,102,0.008150436,0.004786165,0.003364271
0,103,0.008509447,0.00515648,0.003352967
0,104,0.003982769,0.000644242,0.003338527
0,105,0.006057193,0.002667479,0.003389714
0,106,0.006492451,0.003131014,0.003361437
0,107,0.006641713,0.003285629,0.003356084
0,108,0.006697415,0.003315637,0.003381778
0,109,0.006645036,0.003278097,0.003366939
0,110,0.008174285,0.004781979,0.003392306
1,1,0.631685938,0.505468813,0.126217125
1,2,0.207307394,0.204257162,0.003050232
1,3,0.003267141,0.000182852,0.003084289
1,4,0.080950194,0.07792394,0.003026254
1,5,0.003306589,0.000292867,0.003013722
1,6,0.003279679,0.000262626,0.003017053
1,7,0.028978698,0.025960621,0.003018077
1,8,0.003526226,0.000519882,0.003006344
1,9,0.003281527,0.000282958,0.002998569
1,10,0.003157821,0.000171604,0.002986217
1,11,0.005952312,0.002954431,0.002997881
1,12,0.006530824,0.003533537,0.002997287
1,13,0.017080282,0.013876377,0.003203905
1,14,0.004049004,0.00080311,0.003245894
1,15,0.006631136,0.003414986,0.00321615
1,16,0.007562626,0.004377363,0.003185263
1,17,0.007204496,0.00400451,0.003199986
1,18,0.007682107,0.004393606,0.003288501
1,19,0.00636787,0.002874599,0.003493271
1,20,0.007441123,0.004032866,0.003408257
1,21,0.0072154,0.003711803,0.003503597
1,22,0.007514949,0.004028152,0.003486797
1,23,0.007438586,0.003984356,0.00345423
1,24,0.006573,0.00290117,0.00367183
1,25,0.006568606,0.003133791,0.003434815
1,26,0.006663609,0.003127784,0.003535825
1,27,0.00704336,0.003616599,0.003426761
1,28,0.006391103,0.002951806,0.003439297
1,29,0.004486057,0.000997621,0.003488436
1,30,0.00425088,0.000825881,0.003424999
1,31,0.004415033,0.000964989,0.003450044
1,32,0.004121002,0.000796905,0.003324097
1,33,0.004253418,0.000927728,0.00332569
1,34,0.004327046,0.000954882,0.003372164
1,35,0.004456917,0.000961455,0.003495462
1,36,0.004133737,0.000695822,0.003437915
1,37,0.004217014,0.000778952,0.003438062
1,38,0.004185528,0.000663509,0.003522019
1,39,0.004038049,0.000574282,0.003463767
1,40,0.003981657,0.000518737,0.00346292
1,41,0.004091476,0.000594122,0.003497354
1,42,0.003731908,0.000264883,0.003467025
1,43,0.003754026,0.000269343,0.003484683
1,44,0.003530873,9.2558e-05,0.003438315
1,45,0.003673616,0.000264891,0.003408725
1,46,0.00345189,8.4551e-05,0.003367339
1,47,0.003469513,0.000143352,0.003326161
1,48,0.003427215,0.000117932,0.003309283
1,49,0.003325445,0.000107827,0.003217618
1,50,0.003306529,9.2448e-05,0.003214081
1,51,0.006635176,0.003496936,0.00313824
1,52,0.004251652,0.001079208,0.003172444
1,53,0.005377086,0.002267454,0.003109632
1,54,0.004387066,0.001276105,0.003110961
1,55,0.00368444,0.000540142,0.003144298
1,56,0.003682557,0.000535756,0.003146801
1,57,0.005194303,0.002130433,0.00306387
1,58,0.005928856,0.002865754,0.003063102
1,59,0.005828263,0.002786352,0.003041911
1,60,0.006186715,0.003152495,0.00303422
1,61,0.006664538,0.003611478,0.00305306
1,62,0.006425732,0.003403181,0.003022551
1,63,0.006600286,0.003575558,0.003024728
1,64,0.006492658,0.00347335,0.003019308
1,65,0.00658576,0.003545475,0.003040285
1,66,0.006630871,0.003615169,0.003015702
1,67,0.00676803,0.003723147,0.003044883
1,68,0.006694175,0.003647374,0.003046801
1,69,0.006662316,0.003619751,0.003042565
1,70,0.006714557,0.003664504,0.003050053
1,71,0.006734078,0.003707692,0.003026386
1,72,0.007883622,0.004813941,0.003069681
1,73,0.006487928,0.003446967,0.003040961
1,74,0.006620001,0.003602195,0.003017806
1,75,0.006870844,0.003830211,0.003040633
1,76,0.006483607,0.003459576,0.003024031
1,77,0.006719453,0.003697696,0.003021757
1,78,0.007077126,0.004042429,0.003034697
1,79,0.007215563,0.004168228,0.003047335
1,80,0.007126184,0.004064085,0.003062099
1,81,0.007197271,0.004001924,0.003195347
1,82,0.007499065,0.004131137,0.003367928
1,83,0.007398616,0.004075066,0.00332355
1,84,0.007218789,0.003852839,0.00336595
1,85,0.007360263,0.003952444,0.003407819
1,86,0.006902713,0.003528609,0.003374104
1,87,0.007023915,0.003654753,0.003369162
1,88,0.008036723,0.004660235,0.003376488
1,89,0.005882889,0.002498975,0.003383914
1,90,0.006578404,0.0032046,0.003373804
1,91,0.006723733,0.003360407,0.003363326
1,92,0.006593611,0.003246107,0.003347504
1,93,0.006733394,0.0033241,0.003409294
1,94,0.006696334,0.003299225,0.003397109
1,95,0.006643289,0.003266632,0.003376657
1,96,0.009484854,0.006155367,0.003329487
1,97,0.006519062,0.003113197,0.003405865
1,98,0.005129812,0.001745961,0.003383851
1,99,0.006270507,0.002925408,0.003345099
1,100,0.008080409,0.004724975,0.003355434
1,101,0.008159638,0.0048006,0.003359038
1,102,0.008450722,0.00510502,0.003345702
1,103,0.004068106,0.000699894,0.003368212
1,104,0.006000516,0.00265664,0.003343876
1,105,0.006525254,0.003209561,0.003315693
1,106,0.006640534,0.003297446,0.003343088
1,107,0.006675986,0.00331306,0.003362926
1,108,0.006654509,0.003344452,0.003310057
1,109,0.008149975,0.004812564,0.003337411
1,110,0.006882481,0.003540528,0.003341953
2,1,0.622465169,0.495989619,0.12647555
2,2,0.149629494,0.146603348,0.003026146
2,3,0.147950928,0.144927062,0.003023866
2,4,0.00329279,0.000259997,0.003032793
2,5,0.003234551,0.000218208,0.003016343
2,6,0.003201385,0.000182436,0.003018949
2,7,0.003184917,0.000168483,0.003016434
2,8,0.028893228,0.025877269,0.003015959
2,9,0.003610681,0.00058803,0.003022651
2,10,0.006153856,0.003134819,0.003019037
2,11,0.0065097,0.00349531,0.00301439
2,12,0.016833601,0.013738905,0.003094696
2,13,0.003986883,0.00074359,0.003243293
2,14,0.006457775,0.003231843,0.003225932
2,15,0.007495207,0.004219325,0.003275882
2,16,0.007147337,0.003980268,0.003167069
2,17,0.007699414,0.004391358,0.003308056
2,18,0.006320823,0.003043272,0.003277551
2,19,0.007632505,0.004092842,0.003539663
2,20,0.00702101,0.003632476,0.003388534
2,21,0.007255526,0.003702935,0.003552591
2,22,0.007810258,0.004287274,0.003522984
2,23,0.006418502,0.002787793,0.003630709
2,24,0.006750574,0.003268909,0.003481665
2,25,0.006533195,0.003079512,0.003453683
2,26,0.007013869,0.003554184,0.003459685
2,27,0.005822801,0.002358876,0.003463925
2,28,0.004463713,0.001019666,0.003444047
2,29,0.004469897,0.001007703,0.003462194
2,30,0.004465603,0.000989415,0.003476188
2,31,0.004140147,0.000705679,0.003434468
2,32,0.00418297,0.000770721,0.003412249
2,33,0.004378467,0.001059069,0.003319398
2,34,0.004015133,0.000672751,0.003342382
2,35,0.004627213,0.001127875,0.003499338
2,36,0.004009483,0.000609118,0.003400365
2,37,0.00413175,0.000701102,0.003430648
2,38,0.004242882,0.000691933,0.003550949
2,39,0.00399526,0.000513287,0.003481973
2,40,0.003985118,0.000509406,0.003475712
2,41,0.004103396,0.000584941,0.003518455
2,42,0.003755444,0.000332002,0.003423442
2,43,0.003760474,0.000280992,0.003479482
2,44,0.003597085,0.000130683,0.003466402
2,45,0.003587473,0.000191004,0.003396469
2,46,0.003442038,7.5614e-05,0.003366424
2,47,0.003428941,0.000113752,0.003315189
2,48,0.003428816,0.000127117,0.003301699
2,49,0.003369697,0.000151603,0.003218094
2,50,0.006646594,0.003505508,0.003141086
2,51,0.004167737,0.001073801,0.003093936
2,52,0.003875266,0.000669665,0.003205601
2,53,0.004118084,0.001008488,0.003109596
2,54,0.0050824,0.001969515,0.003112885
2,55,0.003754109,0.000613563,0.003140546
2,56,0.005807031,0.002683878,0.003123153
2,57,0.005931831,0.002803784,0.003128047
2,58,0.005847812,0.002794241,0.003053571
2,59,0.006196763,0.003144115,0.003052648
2,60,0.006643342,0.003551447,0.003091895
2,61,0.006435459,0.003387032,0.003048427
2,62,0.006619689,0.003566494,0.003053195
2,63,0.00650145,0.003450396,0.003051054
2,64,0.006543526,0.003510448,0.003033078
2,65,0.006662555,0.00361689,0.003045665
2,66,0.006745721,0.003684403,0.003061318
2,67,0.006701378,0.003659282,0.003042096
2,68,0.006647547,0.003613913,0.003033634
2,69,0.006725066,0.003685098,0.003039968
2,70,0.006736355,0.003715089,0.003021266
2,71,0.007840384,0.004789448,0.003050936
2,72,0.006523816,0.003490994,0.003032822
2,73,0.006649342,0.003605191,0.003044151
2,74,0.006856867,0.003809689,0.003047178
2,75,0.006496726,0.003457279,0.003039447
2,76,0.006670677,0.003646497,0.00302418
2,77,0.006869912,0.003823122,0.00304679
2,78,0.007170801,0.004150015,0.003020786
2,79,0.007163273,0.004104306,0.003058967
2,80,0.007065063,0.004031733,0.00303333
2,81,0.007524354,0.004263569,0.003260785
2,82,0.007474621,0.004095838,0.003378783
2,83,0.007176367,0.003791592,0.003384775
2,84,0.007313264,0.003937704,0.00337556
2,85,0.006939158,0.003547557,0.003391601
